Name,Position,Team,Games,Season,Age,Salary,Goals,Assists,Goals_Sixty,Assists_Sixty,CF_Percent,PDO,CFRel_Percent,Corsi,CorsiFor,CorsiAgainst,Shots,TOI
Johnny.Boychuk,D,BOS,84,20112012,27,2,5,12,0.21,0.5,56.22,100.72,2.91,339,1531,1192,152,1440.24
Johnny.Boychuk,D,BOS,66,20122013,28,3.1,6,6,0.3,0.3,52.26,100.43,-0.53,108,1249,1141,115,1211.38
Johnny.Boychuk,D,BOS,87,20132014,29,3.4,6,13,0.24,0.52,54.99,101.39,1.23,274,1511,1237,138,1498.65
Johnny.Boychuk,D,NYI,79,20142015,30,3.6,3,16,0.14,0.74,55.31,99.63,3.92,279,1454,1175,136,1303.33
Johnny.Boychuk,D,NYI,60,20152016,31,7.5,6,12,0.35,0.7,48.89,102.59,0.02,-43,948,991,101,1029.29
Zach.Boychuk,LR,CAR,2,20082009,18,0.875,0,0,0,0,45.71,102.78,3.34,-3,16,19,0,23.07
Zach.Boychuk,LR,CAR,31,20092010,19,0.875,3,5,0.59,0.98,48.32,101.15,1.69,-20,288,308,31,305.79
Zach.Boychuk,LR,CAR,23,20102011,20,0.875,3,3,0.78,0.78,46.68,99.49,-1.93,-32,225,257,31,230.04
Zach.Boychuk,LR,CAR,16,20112012,21,0.787,0,2,0,0.97,53.18,94.93,4.05,14,117,103,8,123.67
Zach.Boychuk,LR,CAR/NSH/PIT,13,20122013,22,0.55,1,1,0.38,0.38,54.55,96.64,4.03,22,132,110,13,157.78
Zach.Boychuk,LR,CAR,11,20132014,23,0.55,1,3,0.6,1.81,46.15,105.3,-6.07,-13,78,91,13,99.4
Zach.Boychuk,LR,CAR,31,20142015,24,0.6,3,3,0.57,0.57,48.97,99.14,-1.69,-12,286,298,32,316.67
Dustin.Boyd,C,CGY,48,20072008,21,0.65,7,5,1.02,0.73,48.64,96.86,-4.7,-19,339,358,31,412.29
Dustin.Boyd,C,CGY,75,20082009,22,0.675,10,8,0.84,0.67,51.65,97.69,-4.49,43,672,629,50,711.41
Dustin.Boyd,C,CGY/NSH,81,20092010,23,0.65,10,10,0.7,0.7,50.67,100.7,-1.4,20,758,738,96,851.37
Dustin.Boyd,C,MTL,10,20102011,24,0.65,1,0,0.7,0,42.5,89.82,-13.02,-24,68,92,7,86.32
Brad.Boyes,R,STL,82,20072008,25,NA,30,13,1.68,0.73,49.22,102.84,2.71,-28,884,912,107,1070.21
Brad.Boyes,R,STL,86,20082009,26,2.5,15,18,0.77,0.92,50.19,97.37,3.28,8,1046,1038,126,1168.96
Brad.Boyes,R,STL,82,20092010,27,5,10,18,0.57,1.02,50.9,101.51,0.13,35,992,957,127,1056.52
Brad.Boyes,R,BUF/STL,90,20102011,28,4.5,10,30,0.49,1.47,52.29,101.31,1.86,105,1199,1094,135,1225.97
Brad.Boyes,R,BUF,65,20112012,29,4,6,8,0.52,0.69,48.86,100.99,-0.81,-29,621,650,67,692.69
Brad.Boyes,R,NYI,54,20122013,30,1,8,13,0.61,0.99,52.09,97.16,2.32,62,774,712,81,789.37
Brad.Boyes,R,FLA,78,20132014,31,1,18,14,1.02,0.79,50.95,98.46,0.25,37,995,958,130,1056.86
Brad.Boyes,R,FLA,78,20142015,32,2.75,9,19,0.53,1.12,51.55,101.42,0.62,53,879,826,107,1014.73
Brad.Boyes,R,TOR,51,20152016,33,0.7,4,10,0.52,1.29,55.64,98.66,4.75,94,464,370,43,465.12
Brian.Boyle,CL,L.A,8,20072008,22,0.75,4,1,2.67,0.67,36.08,111.5,-7.05,-44,57,101,11,89.92
Brian.Boyle,CL,L.A,28,20082009,23,0.75,4,1,0.91,0.23,47.42,92.56,-4.13,-22,202,224,31,264.92
Brian.Boyle,CL,NYR,71,20092010,24,0.5,4,1,0.51,0.13,46.71,98.04,-3.56,-56,397,453,65,469.75
Brian.Boyle,CL,NYR,87,20102011,25,0.55,15,12,0.79,0.64,48.2,99.38,-0.87,-75,1006,1081,198,1133.15
Brian.Boyle,CL,NYR,99,20112012,26,1.6,14,14,0.69,0.69,47.12,100.04,-1.01,-122,997,1119,150,1212.98
Brian.Boyle,CL,NYR,49,20122013,27,1.7,3,2,0.3,0.2,46.28,96.17,-5,-84,523,607,60,609.21
Brian.Boyle,CL,NYR,107,20132014,28,1.8,7,12,0.39,0.66,46.39,98.89,-6.21,-138,886,1024,142,1085.54
Brian.Boyle,CL,T.B,107,20142015,29,2,12,8,0.66,0.44,49.08,98.63,-3.94,-33,883,916,143,1088.15
Brian.Boyle,CL,T.B,67,20152016,30,2,8,5,0.7,0.44,50.73,98.07,-1.88,17,588,571,77,688.68
Dan.Boyle,D,T.B,37,20072008,31,NA,2,6,0.17,0.51,52.39,94.22,5.29,59,647,588,34,708.8
Dan.Boyle,D,S.J,83,20082009,32,6.667,7,14,0.3,0.6,56.57,98.17,3.66,319,1374,1055,120,1389.34
Dan.Boyle,D,S.J,90,20092010,33,6.667,7,22,0.26,0.81,54.08,100.55,4.07,253,1677,1424,99,1638.31
Dan.Boyle,D,S.J,94,20102011,34,6.667,7,21,0.24,0.73,52.02,99.88,-1.07,137,1761,1624,118,1733.27
Dan.Boyle,D,S.J,86,20112012,35,6.667,4,25,0.15,0.93,51.8,100.21,-0.06,113,1629,1516,141,1619.42
Dan.Boyle,D,S.J,57,20122013,36,6.667,3,4,0.19,0.25,53.5,99.3,4.37,132,1008,876,63,948.88
Dan.Boyle,D,S.J,82,20132014,37,6.667,4,9,0.18,0.4,52.97,98.72,-0.33,158,1409,1251,89,1336.28
Dan.Boyle,D,NYR,84,20142015,38,4.5,8,7,0.36,0.31,53.28,101.38,6.1,162,1314,1152,84,1334.96
Dan.Boyle,D,NYR,66,20152016,39,4.5,4,5,0.24,0.3,49.42,101.92,3.09,-21,890,911,45,1012.84
Nick.Boynton,D,PHX,79,20072008,28,2.95,1,8,0.05,0.44,47.8,97.54,-2.14,-88,954,1042,82,1091.35
Nick.Boynton,D,FLA,68,20082009,29,2.95,5,12,0.33,0.79,48.66,101.98,2.74,-46,837,883,78,909.19
Nick.Boynton,D,ANA/CHI,52,20092010,30,1.5,0,6,0,0.51,49.36,102.18,0.64,-16,614,630,46,704.56
Nick.Boynton,D,CHI/PHI,51,20102011,31,0.5,1,7,0.09,0.61,48.4,99,-3.81,-40,605,645,39,693.67
Tyler.Bozak,C,TOR,37,20092010,23,0.875,6,15,0.74,1.84,51.43,99.96,1.15,27,487,460,27,488.94
Tyler.Bozak,C,TOR,82,20102011,24,0.875,8,11,0.42,0.58,46.89,97.41,-1.25,-143,1079,1222,75,1138.18
Tyler.Bozak,C,TOR,73,20112012,25,1.6,12,17,0.68,0.97,47.58,99.82,-2.53,-103,1012,1115,69,1056.62
Tyler.Bozak,C,TOR,51,20122013,26,1.4,7,10,0.56,0.8,44.95,102.87,0.89,-159,707,866,44,745.62
Tyler.Bozak,C,TOR,58,20132014,27,3.5,10,26,0.65,1.69,42.92,103.19,0.19,-272,825,1097,48,924.19
Tyler.Bozak,C,TOR,82,20142015,28,4,7,16,0.38,0.86,45.86,97.6,-0.83,-189,1047,1236,73,1114.53
Tyler.Bozak,C,TOR,47,20152016,29,5,6,12,0.57,1.13,50.65,100.52,0.81,17,665,648,51,635.02
Matt.Bradley,R,WSH,84,20072008,29,NA,5,12,0.38,0.92,54.58,97.2,-0.77,115,685,570,106,781.75
Matt.Bradley,R,WSH,95,20082009,30,1,6,9,0.39,0.58,50.12,100.07,-5.56,4,811,807,99,934.76
Matt.Bradley,R,WSH,83,20092010,31,1,10,16,0.76,1.22,53.67,100.75,0.12,104,760,656,84,788.05
Matt.Bradley,R,WSH,69,20102011,32,1,4,7,0.35,0.61,48.67,97.56,-4.06,-30,550,580,59,691.54
Matt.Bradley,R,FLA,45,20112012,33,0.9,2,4,0.25,0.5,41.46,100.49,-9.95,-131,318,449,31,475.38
Donald.Brashear,L,WSH,87,20072008,35,NA,6,4,0.55,0.36,51.47,97.17,-4.27,31,543,512,57,658.6
Donald.Brashear,L,WSH,67,20082009,36,1.2,1,3,0.11,0.34,50.52,97.56,-5.15,9,434,425,44,523.86
Donald.Brashear,L,NYR,36,20092010,37,1.5,0,1,0,0.28,42.35,93.53,-8.71,-60,166,226,18,211.98
Derick.Brassard,C,CBJ,17,20072008,19,0.85,1,1,0.48,0.48,54.36,93.81,2.75,17,106,89,8,125.97
Derick.Brassard,C,CBJ,31,20082009,20,0.85,7,10,1.3,1.86,58.1,106.22,6.44,85,305,220,24,321.95
Derick.Brassard,C,CBJ,78,20092010,21,0.85,5,17,0.33,1.11,48.16,97.58,-0.01,-57,748,805,78,922.64
Derick.Brassard,C,CBJ,74,20102011,22,2.8,10,19,0.62,1.18,51.2,99.82,0.15,44,936,892,106,963.27
Derick.Brassard,C,CBJ,74,20112012,23,3,8,17,0.52,1.1,47.09,99.14,-0.19,-96,778,874,77,928.28
Derick.Brassard,C,CBJ/NYR,59,20122013,24,3.3,9,16,0.68,1.21,49.08,102.18,2.71,-25,667,692,72,795.35
Derick.Brassard,C,NYR,104,20132014,25,3.7,15,19,0.7,0.89,53.11,100.24,2.38,144,1231,1087,134,1288.12
Derick.Brassard,C,NYR,99,20142015,26,7,16,33,0.72,1.48,52.59,101.43,4.23,130,1318,1188,145,1334.83
Derick.Brassard,C,NYR,71,20152016,27,6,14,14,0.83,0.83,47.48,103.32,0.54,-95,896,991,93,1013.95
Justin.Braun,D,S.J,29,20102011,23,0.613,0,8,0,1.19,56.61,97.43,3.55,95,407,312,35,402.88
Justin.Braun,D,S.J,71,20112012,24,0.713,1,6,0.06,0.37,54.68,97.55,4.9,163,952,789,89,982.26
Justin.Braun,D,S.J,52,20122013,25,1,0,7,0,0.53,50.34,99.03,0.09,10,733,723,45,799.4
Justin.Braun,D,S.J,89,20132014,26,1.25,4,14,0.16,0.57,53.34,100.37,0.31,190,1516,1326,102,1481.17
Justin.Braun,D,S.J,70,20142015,27,1.5,1,18,0.05,0.9,50.46,99.93,-1.58,21,1149,1128,79,1204.99
Justin.Braun,D,S.J,70,20152016,28,3.8,1,18,0.05,0.91,52.15,100.15,0.61,88,1068,980,91,1180.51
Christopher.Breen,D,CGY,9,20132014,24,0.578,0,2,0,1.44,45.11,105.52,0.39,-18,83,101,4,83.59
Kip.Brennan,L,NYI,3,20072008,27,NA,0,0,0,0,38.89,100,-8.05,-4,7,11,0,12.03
T.J..Brennan,D,BUF,11,20112012,22,NA,1,0,0.42,0,50.21,101.29,4.58,1,117,116,12,142.31
T.J..Brennan,D,BUF/FLA,29,20122013,23,NA,2,4,0.29,0.57,49.8,97.51,2.46,-3,383,386,26,419.41
T.J..Brennan,D,TOR,6,20142015,25,NA,0,0,0,0,52.67,89.99,2.67,8,79,71,6,73.98
T.J..Brennan,D,TOR,1,20152016,26,NA,0,0,0,0,62.5,100,12.5,4,10,6,0,9.01
Tim.Brent,C,PIT,1,20072008,23,NA,0,0,0,0,0,NA,-25.93,-2,0,2,0,4.02
Tim.Brent,C,CHI,2,20082009,24,0.525,0,0,0,0,45.16,100,-11.62,-3,14,17,0,19.13
Tim.Brent,C,TOR,1,20092010,25,0.525,0,0,0,0,35,100,-5,-6,7,13,3,13.46
Tim.Brent,C,TOR,79,20102011,26,0.575,7,7,0.62,0.62,42.29,100.01,-6.57,-193,529,722,43,677.47
Tim.Brent,C,CAR,79,20112012,27,0.7,8,8,0.71,0.71,42.37,100.85,-6.92,-182,505,687,46,679.56
Tim.Brent,C,CAR,30,20122013,28,0.8,0,1,0,0.28,54.76,96.84,2.11,37,213,176,18,218.12
Eric.Brewer,D,STL,77,20072008,28,3.5,1,8,0.05,0.37,45.32,99.16,-3.25,-189,915,1104,61,1288.12
Eric.Brewer,D,STL,28,20082009,29,4.5,0,3,0,0.38,47.77,98.46,1.8,-37,397,434,35,475.52
Eric.Brewer,D,STL,59,20092010,30,4.5,8,2,0.5,0.12,49.38,97.17,-2.75,-21,837,858,54,960.08
Eric.Brewer,D,STL/T.B,94,20102011,31,4.5,8,8,0.3,0.3,47.96,100.55,-3.84,-122,1432,1554,97,1613.7
Eric.Brewer,D,T.B,82,20112012,32,3.75,1,12,0.04,0.49,45.4,100.04,-2.96,-243,1199,1442,71,1471.42
Eric.Brewer,D,T.B,48,20122013,33,4,3,7,0.22,0.51,46.02,101.98,-1.82,-120,693,813,50,830.73
Eric.Brewer,D,T.B,81,20132014,34,4,4,9,0.2,0.46,50.1,99.38,-0.73,4,1040,1036,76,1175.96
Eric.Brewer,D,ANA/T.B/TOR,44,20142015,35,3.75,2,6,0.17,0.51,44.87,98.89,-6.09,-127,556,683,26,701.03
Connor.Brickley,C,FLA,23,20152016,23,0.665,1,4,0.31,1.22,40.62,102.36,-8.62,-54,117,171,10,196.39
Daniel.Briere,RC,PHI,96,20072008,29,10,18,19,0.86,0.91,45.15,99.49,-1.75,-226,1052,1278,113,1251.77
Daniel.Briere,RC,PHI,35,20082009,30,8,7,10,1.04,1.49,45.91,103.47,-2.01,-62,348,410,29,403.13
Daniel.Briere,RC,PHI,98,20092010,31,8,20,30,0.94,1.41,51.89,101.77,2.33,99,1357,1258,155,1277.88
Daniel.Briere,RC,PHI,88,20102011,32,7,29,24,1.36,1.13,48.91,101.97,-1.1,-55,1232,1287,185,1277.03
Daniel.Briere,RC,PHI,81,20112012,33,7,15,16,0.84,0.9,48.37,99.95,-1.73,-68,1011,1079,125,1069.79
Daniel.Briere,RC,PHI,34,20122013,34,7,2,7,0.29,1,47.2,98.18,-1.51,-45,380,425,54,419.57
Daniel.Briere,RC,MTL,85,20132014,35,4,11,11,0.75,0.75,46.63,101.29,-0.36,-112,775,887,105,879.06
Daniel.Briere,RC,COL,57,20142015,36,4,7,4,0.7,0.4,41.74,98.51,-2.05,-175,442,617,55,600.62
Rod.Brind'Amour,C,CAR,59,20072008,37,4,12,19,0.83,1.31,52.5,100.58,1.8,79,829,750,83,870.43
Rod.Brind'Amour,C,CAR,98,20082009,38,4,9,15,0.43,0.72,50.13,96.62,-2.61,6,1155,1149,102,1249.71
Rod.Brind'Amour,C,CAR,79,20092010,39,3,6,7,0.46,0.54,51.79,93.88,3.59,49,710,661,67,782.47
David.Brine,C,FLA,9,20072008,22,0.475,0,1,0,1.16,39.33,99.58,-6.39,-19,35,54,3,51.82
Patrice.Brisebois,D,MTL,53,20072008,36,NA,1,4,0.09,0.35,48,99.63,1.45,-52,625,677,28,687.58
Patrice.Brisebois,D,MTL,63,20082009,37,0.75,0,9,0,0.71,48.73,99.56,1.77,-36,692,728,37,758.38
Jonas.Brodin,D,MIN,50,20122013,19,0.925,0,7,0,0.45,50.55,99.57,2.64,17,787,770,40,941.22
Jonas.Brodin,D,MIN,92,20132014,20,0.925,5,7,0.17,0.24,48.53,100.17,-2.27,-82,1353,1435,59,1717.74
Jonas.Brodin,D,MIN,81,20142015,21,0.833,2,10,0.08,0.38,49.98,101.14,-0.22,-1,1394,1395,75,1581.17
Jonas.Brodin,D,MIN,59,20152016,22,2.5,1,4,0.06,0.23,45.11,99.43,-4.24,-172,794,966,46,1047.99
T.J..Brodie,D,CGY,3,20102011,20,NA,0,0,0,0,52.11,88.24,-2.1,3,37,34,1,36.35
T.J..Brodie,D,CGY,54,20112012,21,NA,1,7,0.08,0.55,52.05,102.31,8.31,53,672,619,34,768.59
T.J..Brodie,D,CGY,47,20122013,22,NA,1,5,0.08,0.38,50.14,97.43,4.54,4,704,700,36,792.75
T.J..Brodie,D,CGY,81,20132014,23,NA,2,17,0.08,0.66,51.49,98.84,8.15,78,1345,1267,73,1538.15
T.J..Brodie,D,CGY,92,20142015,24,NA,5,15,0.17,0.5,45.8,101.47,2.3,-279,1521,1800,98,1802.74
T.J..Brodie,D,CGY,61,20152016,25,NA,2,26,0.1,1.32,49.98,101.3,3.14,-1,1071,1072,50,1184.12
Kyle.Brodziak,C,EDM,80,20072008,23,0.495,13,13,1.01,1.01,46.99,98.47,0.85,-84,656,740,97,772.1
Kyle.Brodziak,C,EDM,79,20082009,24,0.5,8,12,0.63,0.94,42.99,101.69,-5.75,-187,573,760,73,762.1
Kyle.Brodziak,C,MIN,82,20092010,25,1.05,8,18,0.48,1.07,45.74,100.02,-2.87,-147,790,937,112,1008.35
Kyle.Brodziak,C,MIN,80,20102011,26,1.1,11,16,0.67,0.98,47.47,100.15,2.98,-93,871,964,93,980.3
Kyle.Brodziak,C,MIN,82,20112012,27,1.3,15,14,0.78,0.73,44.43,98.89,0.25,-238,950,1188,113,1153.21
Kyle.Brodziak,C,MIN,53,20122013,28,2.5,6,5,0.51,0.42,48.38,95.11,-0.76,-39,582,621,68,712.52
Kyle.Brodziak,C,MIN,93,20132014,29,3,8,15,0.4,0.75,44.43,101.36,-6.83,-214,853,1067,107,1193.45
Kyle.Brodziak,C,MIN,83,20142015,30,3,8,11,0.56,0.77,44.96,98.07,-7.21,-150,669,819,85,854.37
Kyle.Brodziak,C,STL,67,20152016,31,0.9,2,3,0.21,0.31,50.06,97.15,-2.35,1,450,449,34,579.7
David.Broll,L,TOR,5,20132014,20,0.598,0,1,0,1.46,42.86,109.29,2.6,-12,36,48,3,41.08
Sheldon.Brookbank,D,N.J,44,20072008,26,NA,0,5,0,0.51,52.15,99.52,0.42,43,521,478,32,583.61
Sheldon.Brookbank,D,ANA/N.J,57,20082009,27,0.5,1,3,0.09,0.28,47.89,102.09,-1.63,-48,545,593,32,648.33
Sheldon.Brookbank,D,ANA,66,20092010,28,0.5,0,9,0,0.6,45.44,103.62,-2.97,-140,697,837,51,893.67
Sheldon.Brookbank,D,ANA,44,20102011,29,0.7,0,0,0,0,46.35,95.46,1.36,-63,400,463,28,492.77
Sheldon.Brookbank,D,ANA,79,20112012,30,0.8,3,9,0.17,0.5,45.25,102.57,-5.22,-183,872,1055,45,1088.43
Sheldon.Brookbank,D,CHI,27,20122013,31,1.2,0,0,0,0,50.37,96.73,-2.86,4,275,271,23,319.35
Sheldon.Brookbank,D,CHI,55,20132014,32,1.3,2,7,0.18,0.62,50.88,101.53,-4.44,21,610,589,40,681.63
Wade.Brookbank,LD,CAR,32,20072008,29,NA,1,1,0.52,0.52,44.75,106.44,-9.02,-19,81,100,10,115.64
Wade.Brookbank,LD,CAR,27,20082009,30,0.475,1,0,0.91,0,45.9,99.73,-6.4,-10,56,66,7,65.67
Evan.Brophey,C,CHI,1,20102011,23,0.5,0,0,0,0,27.27,100,-30.06,-5,3,8,1,7.3
Evan.Brophey,C,COL,3,20112012,24,0.525,0,0,0,0,47.37,133.33,0.75,-1,9,10,0,12.27
Julien.Brouillette,D,WSH,10,20132014,26,0.55,1,1,0.4,0.4,40.16,106.22,-2.47,-50,102,152,2,150.55
Julien.Brouillette,D,WPG,1,20142015,27,0.6,0,0,0,0,16.67,100,-34.1,-8,2,10,0,9.91
Troy.Brouwer,R,CHI,2,20072008,22,0.675,0,1,0,2.9,40,127.5,-10.98,-4,8,12,0,20.72
Troy.Brouwer,R,CHI,86,20082009,23,0.7,4,12,0.25,0.75,55.6,99.22,1.7,179,889,710,114,962.37
Troy.Brouwer,R,CHI,97,20092010,24,1,17,14,0.9,0.74,54.23,99.6,-2.01,168,1078,910,87,1134.74
Troy.Brouwer,R,CHI,86,20102011,25,1.05,9,13,0.52,0.75,54.92,99.24,3.48,178,994,816,93,1039.84
Troy.Brouwer,R,WSH,96,20112012,26,2.35,13,12,0.62,0.57,46.89,99.03,-1.55,-142,1069,1211,105,1260.58
Troy.Brouwer,R,WSH,54,20122013,27,2.35,10,5,0.84,0.42,48.38,99.3,-2.01,-41,614,655,67,714.24
Troy.Brouwer,R,WSH,82,20132014,28,3.6,10,9,0.58,0.52,47.79,100.59,0.16,-80,866,946,87,1033.81
Troy.Brouwer,R,WSH,96,20142015,29,3.65,10,17,0.53,0.89,50.54,100.87,-0.78,22,1032,1010,90,1142.16
Troy.Brouwer,R,STL,73,20152016,30,3.75,8,12,0.5,0.76,49.41,100.94,-3.33,-20,842,862,87,953.45
Chris.Brown,C,PHX,5,20122013,21,0.79,0,0,0,0,47.37,100,-5.19,-3,27,30,5,31.35
Chris.Brown,C,PHX/WSH,12,20132014,22,0.87,1,1,0.59,0.59,44.97,101.23,0.93,-17,76,93,7,102.23
Chris.Brown,C,WSH,5,20142015,23,0.9,1,0,1.82,0,33.33,110,-21.83,-18,18,36,3,32.89
Chris.Brown,C,WSH,1,20152016,24,0.575,0,0,0,0,66.67,100,22.22,3,6,3,1,8.09
Connor.Brown,R,TOR,3,20152016,21,0.718,0,0,0,0,42,98.61,-17.83,-8,21,29,2,28.31
Curtis.Brown,C,S.J,40,20072008,31,1.254,5,4,0.93,0.74,50,100.62,-3.42,0,258,258,34,323.43
Dustin.Brown,LR,L.A,78,20072008,22,NA,16,12,0.88,0.66,47.7,98.28,2.65,-90,934,1024,130,1094.36
Dustin.Brown,LR,L.A,80,20082009,23,2.6,14,15,0.78,0.84,52.09,98.42,2.47,85,1057,972,179,1076.22
Dustin.Brown,LR,L.A,87,20092010,24,2.45,14,19,0.7,0.95,48.45,98.62,-2.72,-65,1015,1080,157,1203.27
Dustin.Brown,LR,L.A,88,20102011,25,3.5,16,20,0.76,0.96,51.59,101.81,0.81,73,1185,1112,151,1255.13
Dustin.Brown,LR,L.A,101,20112012,26,3.5,12,28,0.5,1.16,56.39,101.47,3.31,350,1544,1194,172,1452.28
Dustin.Brown,LR,L.A,64,20122013,27,3.5,9,6,0.58,0.39,56.51,100.48,2.91,220,955,735,122,934.02
Dustin.Brown,LR,L.A,105,20132014,28,3.5,15,16,0.65,0.69,56.07,100.89,0.29,301,1390,1089,190,1382.31
Dustin.Brown,LR,L.A,82,20142015,29,7.25,10,11,0.55,0.61,54.5,97.45,-1.15,170,1029,859,149,1082.63
Dustin.Brown,LR,L.A,72,20152016,30,7.25,8,12,0.5,0.76,57.95,97.85,2.88,273,995,722,164,952.12
J.T..Brown,RL,T.B,5,20112012,21,NA,0,1,0,0.96,56.45,105.88,7.18,16,70,54,13,62.42
J.T..Brown,RL,T.B,67,20132014,23,NA,5,13,0.39,1.01,52.19,96.45,1.73,61,727,666,105,772.52
J.T..Brown,RL,T.B,76,20142015,24,NA,4,7,0.31,0.55,49.18,98.01,-2.67,-21,630,651,106,763.15
J.T..Brown,RL,T.B,69,20152016,25,NA,7,12,0.52,0.89,53.01,102.52,1.32,85,748,663,107,809.94
Mike.Brown,RL,VAN,19,20072008,22,0.5,1,0,0.46,0,34.43,99.44,-11.29,-57,63,120,8,129.44
Mike.Brown,RL,ANA/VAN,61,20082009,23,0.522,2,4,0.3,0.59,41,96.13,-8.42,-112,255,367,38,404.46
Mike.Brown,RL,ANA,75,20092010,24,0.5,5,1,0.55,0.11,42.59,101.47,-5.29,-143,411,554,67,546.82
Mike.Brown,RL,TOR,50,20102011,25,0.575,2,4,0.29,0.58,40.75,103.37,-7.47,-133,293,426,51,416.88
Mike.Brown,RL,TOR,50,20112012,26,0.76,2,1,0.28,0.14,47.3,95.45,-2.65,-40,350,390,54,429.62
Mike.Brown,RL,EDM/TOR,39,20122013,27,0.725,1,1,0.21,0.21,39.6,96.79,-6.35,-93,177,270,17,286.12
Mike.Brown,RL,EDM/S.J,62,20132014,28,0.725,3,4,0.4,0.54,45.01,96.85,-7.83,-70,316,386,43,445.98
Mike.Brown,RL,S.J,12,20142015,29,1.15,0,0,0,0,44.03,100.71,-6.47,-19,70,89,11,98.67
Mike.Brown,RL,S.J/MTL,54,20152016,30,1.25,2,3,0.29,0.43,45.11,98.47,-5.74,-70,323,393,44,417.11
Patrick.Brown,RC,CAR,7,20142015,22,0.64,0,0,0,0,46.24,85.42,-3.98,-7,43,50,4,61.84
Gilbert.Brule,RC,CBJ,61,20072008,20,0.85,1,7,0.11,0.76,52.73,97.73,0.17,45,435,390,64,551.76
Gilbert.Brule,RC,EDM,11,20082009,21,0.765,2,1,1.15,0.57,42.41,95.32,-5.24,-29,81,110,11,104.52
Gilbert.Brule,RC,EDM,64,20092010,22,0.8,15,17,1.12,1.27,46.46,99.55,2.1,-102,669,771,87,803.91
Gilbert.Brule,RC,EDM,41,20102011,23,1.85,6,2,0.74,0.25,42.55,99.04,-2.23,-132,377,509,53,488.07
Gilbert.Brule,RC,PHX,45,20112012,24,1.85,6,10,0.81,1.35,49.44,104.2,2.99,-9,398,407,55,444.97
Gilbert.Brule,RC,PHX,3,20132014,26,0.685,0,0,0,0,50,94.12,-4.46,0,32,32,3,34.3
Andrew.Brunette,LR,COL,92,20072008,34,NA,13,29,0.71,1.58,46.23,101.89,-1.9,-143,877,1020,88,1100.72
Andrew.Brunette,LR,MIN,80,20082009,35,2.5,13,17,0.73,0.96,49.68,99.7,3.25,-12,925,937,71,1062.15
Andrew.Brunette,LR,MIN,82,20092010,36,2.5,12,21,0.67,1.17,51.8,100.77,5.49,66,948,882,62,1074.78
Andrew.Brunette,LR,MIN,82,20102011,37,2,9,16,0.5,0.88,45.96,101.28,1,-151,860,1011,65,1086.47
Andrew.Brunette,LR,CHI,84,20112012,38,2,8,12,0.51,0.77,49.91,96.06,-4.65,-3,823,826,55,934.33
Damien.Brunner,RL,DET,58,20122013,26,0.925,12,7,1.06,0.62,53,100.15,0.14,77,681,604,95,676.17
Damien.Brunner,RL,N.J,60,20132014,27,2.5,7,7,0.63,0.63,53.31,98.42,-1.96,71,572,501,82,663.97
Damien.Brunner,RL,N.J,17,20142015,28,2.5,2,1,0.6,0.3,52.55,101.58,0.51,16,165,149,18,199.81
Fabian.Brunnstrom,LR,DAL,55,20082009,23,0.875,13,8,1.47,0.9,48.73,96.43,-0.82,-23,441,464,49,531.41
Fabian.Brunnstrom,LR,DAL,44,20092010,24,0.875,2,8,0.29,1.16,45.18,99.9,-2.67,-67,314,381,31,413.65
Fabian.Brunnstrom,LR,DET,5,20112012,26,0.6,0,1,0,1.36,64.79,86.51,2.72,21,46,25,6,44.26
Sergei.Brylin,C,N.J,87,20072008,33,NA,7,8,0.45,0.51,49.67,98.63,-3.31,-9,680,689,55,941.49
Brett.Bulmer,RL,MIN,9,20112012,19,0.74,0,3,0,1.84,40.4,105.56,-6.14,-29,61,90,7,97.72
Brett.Bulmer,RL,MIN,5,20132014,21,0.79,0,0,0,0,49.4,92.86,0.84,-1,41,42,7,53.3
Brett.Bulmer,RL,MIN,3,20152016,23,0.6,0,0,0,0,23.33,90,-27.89,-16,7,23,2,19.4
Andre.Burakovsky,CL,WSH,64,20142015,19,0.925,9,11,0.74,0.91,53.99,102.12,4.14,113,765,652,65,727.12
Andre.Burakovsky,CL,WSH,69,20152016,20,0.925,15,14,1.11,1.03,50.91,101.17,0.64,28,782,754,79,813.22
Adam.Burish,C,CHI,81,20072008,24,NA,3,4,0.26,0.35,43.72,96.62,-7.24,-122,425,547,60,680.21
Adam.Burish,C,CHI,83,20082009,25,0.713,9,5,0.87,0.48,53.37,100.73,-1.11,63,499,436,91,622.11
Adam.Burish,C,CHI,28,20092010,26,0.713,1,3,0.31,0.93,47.95,100.48,-5.78,-15,175,190,23,194.19
Adam.Burish,C,DAL,63,20102011,27,1,7,6,0.56,0.48,44.75,100.79,-2.93,-137,584,721,75,755.82
Adam.Burish,C,DAL,65,20112012,28,1.3,6,11,0.52,0.96,49.6,100.77,0.61,-10,613,623,69,689.02
Adam.Burish,C,S.J,52,20122013,29,1.85,0,2,0,0.25,42.94,97.71,-9.81,-120,365,485,46,480.02
Adam.Burish,C,S.J,15,20132014,30,1.85,0,0,0,0,52.8,91.14,-3.97,12,113,101,9,124.73
Adam.Burish,C,S.J,20,20142015,31,1.85,1,2,0.31,0.62,36.29,97.04,-17.69,-96,127,223,19,194.99
Alex.Burmistrov,CR,ATL,73,20102011,18,0.9,5,11,0.36,0.8,46.33,98.97,-1.39,-106,670,776,77,822.52
