period,minute,second,possession,duration,possession_team.name,play_pattern.id,play_pattern.name,player.id,player.name,position.name,shot.statsbomb_xg,shot.first_time,shot.technique.name,shot.outcome.name,shot.type.name,shot.body_part.name,match_id,location.x,location.y,location.x.GK,location.y.GK,player.name.GK,DistToGoal,DistToKeeper,AngleToGoal,avevelocity,distance.ToD1,DefendersBehindBall,TimeInPoss
2,55,5,134,0.1464,Germany Women's,1,Regular Play,10263,Sara Däbritz,Left Midfield,0.04765011,NA,Normal,Blocked,Open Play,Left Foot,22926,103.2,44.4,119.1,41.2,Shimeng Peng,17.366634676873925,1.5000000000000056,104.67639313745002,12.760615910020066,2.0124611797498075,4,36.44599999999991
2,59,12,141,0.2583,Germany Women's,2,From Corner,25491,Marina Hegering,Right Center Back,0.050890032,NA,Half Volley,Blocked,Open Play,Left Foot,22926,107.9,39.8,119.4,39.8,Shimeng Peng,12.10165277968261,0.6324555320336713,89.05304855322676,16.10269790405373,4.589117562233506,8,3.1700000000000728
2,59,14,141,0.1152,Germany Women's,2,From Corner,15178,Alexandra Popp,Center Forward,0.03854843,TRUE,Normal,Blocked,Open Play,Right Foot,22926,111.7,30.1,119.4,37.6,Shimeng Peng,12.918978287774925,2.473863375370594,39.975924741460446,25.77993473075952,3.1827660925679098,6,4.813000000000102
2,60,32,142,0.1409,Germany Women's,2,From Corner,10263,Sara Däbritz,Left Midfield,0.023242412,NA,Normal,Blocked,Open Play,Left Foot,22926,100,51.7,119.2,40.4,Shimeng Peng,23.170886905770356,0.8944271909999126,120.32763411913386,12.065294535131313,1.886796226411316,7,29.485999999999876
2,65,23,152,0.8845,Germany Women's,2,From Corner,25492,Giulia Gwinn,Left Back,0.011981279,NA,Half Volley,Goal,Open Play,Right Foot,22926,100.6,36.8,119.8,39.4,Shimeng Peng,19.66214637317097,0.6324555320336781,80.63349004298783,21.933295647258344,5.021951811795894,9,5.217000000000553
2,72,54,173,0.903043,Germany Women's,1,Regular Play,10374,Svenja Huth,Left Midfield,0.011433964,NA,Normal,Off T,Open Play,Right Foot,22926,106.4,23.3,119.1,36.7,Shimeng Peng,21.537177159507227,3.4205262752974126,39.1583811331811,25.964627010987215,2.1931712199461266,6,12.52100000000064
2,75,0,179,1.109269,Germany Women's,1,Regular Play,10263,Sara Däbritz,Right Midfield,0.020962387,NA,Normal,Saved,Open Play,Left Foot,22926,102.8,55,119.1,42.5,Shimeng Peng,22.821919288263206,2.6570660511172863,131.09145570554057,18.17735917181148,4.0804411526206295,6,21.05199999999968
2,78,23,187,0.79594,Germany Women's,3,From Free Kick,25492,Giulia Gwinn,Left Back,0.029006567,NA,Normal,Saved,Open Play,Left Foot,22926,107.2,25.4,117.8,36.1,Shimeng Peng,19.4164878389476,4.4777226354476225,41.241444314527996,18.481971554070203,1.3038404810405264,3,5.326000000000022
2,82,19,195,1.1763,China PR Women's,3,From Free Kick,25490,Rui Zhang,Right Center Midfield,0.0135292085,TRUE,Normal,Off T,Open Play,Right Foot,22926,98.2,34.4,117.4,39.4,Almuth Schult,22.507776433935003,2.6683328128252617,75.59331484356312,18.958511300648052,3.9012818406262233,9,21.494000000000597
1,3,42,11,0.709,Spain Women's,1,Regular Play,10200,Marta Corredera Rueda,Left Back,0.008912917,TRUE,Normal,Blocked,Open Play,Right Foot,22930,94.7,34.8,118.5,39.4,Andile Dlamini,25.828859827719842,1.6155494421403518,78.3855370173572,17.228131435376557,4.071854614300464,9,31.932000000000016
1,4,50,13,1.0552,Spain Women's,1,Regular Play,10161,Mariona Caldentey Oliver,Left Wing,0.016738754,NA,Normal,Saved,Open Play,Right Foot,22930,99.1,25.4,119.2,38.2,Andile Dlamini,25.49450921276972,1.9697715603592172,55.0632135049418,22.275699911946855,5.315072906367329,6,26.665999999999997
1,5,26,14,1.5076,Spain Women's,2,From Corner,10158,María Victoria Losada Gómez,Left Center Midfield,0.018296128,TRUE,Normal,Wayward,Open Play,Right Foot,22930,103.7,20.7,118.7,38.2,Andile Dlamini,25.262224763468474,2.2203603311174476,40.183084703507376,35.830432459730275,6.2241465278381725,8,5.090999999999951
1,6,59,17,1.4427,Spain Women's,1,Regular Play,10143,Alexia Putellas Segura,Right Center Midfield,0.032840554,NA,Normal,Saved,Open Play,Head,22930,108.4,37.2,119.6,39.5,Andile Dlamini,11.93314711214103,0.6403124237432885,76.42956561483857,7.218363467544088,1.3152946437965929,4,56.624000000000024
1,11,49,26,1.1736,Spain Women's,3,From Free Kick,10155,María Pilar León Cebrián,Left Center Back,0.08810777,NA,Normal,Off T,Free Kick,Left Foot,22930,95.4,46.2,118.8,40.6,Andile Dlamini,25.369272752682523,1.341640786499877,104.14579549410301,21.172236124239163,12.014990636700473,10,0
1,13,25,31,0.1816,Spain Women's,4,From Throw In,10143,Alexia Putellas Segura,Right Center Midfield,0.016901534,NA,Normal,Blocked,Open Play,Left Foot,22930,98.7,48.8,118.6,41.2,Andile Dlamini,23.0462578307195,1.8439088914585835,112.44774863812503,8.130409174137311,1.726267650163209,6,7.572000000000003
1,15,6,33,0.3919,South Africa Women's,3,From Free Kick,25517,Nothando Vilakazi,Left Back,0.058712248,NA,Normal,Blocked,Free Kick,Left Foot,22930,100.5,54.2,119.1,40.1,Sandra Paños García-Villamil,24.12239623254705,0.9055385138137475,126.06229918358976,26.70613898352834,10.469001862641917,10,0
1,19,24,39,1.692202,Spain Women's,1,Regular Play,10154,Amanda Sampedro Bustos,Right Wing,0.06752471,TRUE,Volley,Wayward,Open Play,Right Foot,22930,104,42.3,118.9,41.3,Andile Dlamini,16.164467204334326,1.7029386365926342,98.18022988249749,7.401937735063571,3.106444913401815,8,126.46100000000001
1,22,48,48,0.2226,Spain Women's,1,Regular Play,10143,Alexia Putellas Segura,Right Center Midfield,0.07182758,NA,Normal,Blocked,Open Play,Left Foot,22930,108.4,39.5,119.1,39.8,Andile Dlamini,11.610770861575034,0.921954445729295,87.53188208617152,7.408994834892446,1.7029386365926389,2,51.766000000000076
1,24,18,51,1.586751,South Africa Women's,1,Regular Play,5052,Thembi Kgatlana,Left Center Forward,0.019430583,NA,Normal,Goal,Open Play,Right Foot,22930,99.9,26.1,118.9,37.2,Sandra Paños García-Villamil,24.43808503136037,3.0083217912982603,55.33450266669379,16.509442120949956,2.0396078054371136,4,16.06899999999996
1,27,5,53,1.1825,Spain Women's,4,From Throw In,10151,Jennifer Hermoso Fuentes,Center Forward,0.025406703,NA,Normal,Saved,Open Play,Head,22930,108.3,38.5,119.1,40.2,Andile Dlamini,11.795761950802502,0.921954445729295,82.69424046668918,8.798584374919587,1.4317821063276335,3,26.869000000000142
1,31,52,63,2.573695,Spain Women's,3,From Free Kick,10148,Marta Torrejón Moya,Right Back,0.023810573,NA,Normal,Off T,Open Play,Head,22930,103.4,47.7,118.9,42.2,Andile Dlamini,18.2989070711887,2.4596747752497685,114.8844835267643,11.179136405920522,5.470831746635961,4,7.125
1,42,6,81,0.1303,Spain Women's,3,From Free Kick,10151,Jennifer Hermoso Fuentes,Center Forward,0.021442374,NA,Normal,Blocked,Open Play,Head,22930,108,39.1,119,41.1,Andile Dlamini,12.033702672078947,1.4866068747318515,85.710846671181,6.187457980275152,1.711724276862372,3,1.468000000000302
1,48,3,88,2.1847,Spain Women's,1,Regular Play,10200,Marta Corredera Rueda,Left Back,0.0050134873,NA,Normal,Saved,Open Play,Right Foot,22930,88.5,28.7,119.3,40.8,Andile Dlamini,33.46550462790005,1.0630145812734646,70.26555881794287,15.665093567673,2.9154759474226557,7,135.6579999999999
2,46,16,94,0.2845,Spain Women's,1,Regular Play,10143,Alexia Putellas Segura,Right Center Midfield,0.034862686,NA,Normal,Blocked,Open Play,Left Foot,22930,103.6,38.2,118.3,38.4,Andile Dlamini,16.49848477891228,2.334523505985753,83.73650938566544,9.1388400702988,3.257299494980474,4,22.934000000000196
2,46,28,94,1.4062,Spain Women's,1,Regular Play,10151,Jennifer Hermoso Fuentes,Center Forward,0.027834939,TRUE,Half Volley,Post,Open Play,Left Foot,22930,102.1,52.5,119,40.7,Andile Dlamini,21.83254451501245,1.2206555615733719,124.92752216256106,15.485311396945827,3.522782990761712,6,35.17500000000018
2,46,32,94,0.1931,Spain Women's,1,Regular Play,10161,Mariona Caldentey Oliver,Left Wing,0.2639693,NA,Normal,Blocked,Open Play,Left Foot,22930,115.8,36,119.8,38.9,Andile Dlamini,5.8000000000000025,1.1180339887498967,46.397181027296405,7.19442982364052,1.941648783894766,1,38.47900000000027
