Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Roger Levesque,SEA,M,198,2,0,0,0.33,-0.33,1,0,0.03,0.36,0.085,2012
Omar Salgado,VAN,F,416,4,0.25,0,0.34,-0.34,3,1,0.37,0.71,0.061,2012
Matt Watson,VAN,M,1042,8,0.5,0,0.34,-0.34,4,0,0.33,0.67,0.09,2012
Corey Ashe,HOU,D,2761,8,0.5,0,0.34,-0.34,26,1,2.58,2.92,0.114,2012
Rafael Robayo,CHI,M,508,5,0,0,0.35,-0.35,10,0,0.43,0.79,0.094,2012
Khari Stephenson,SJ,M,1164,31,0.419,2,2.35,-0.35,11,3,0.89,3.24,0.099,2012
Eric Brunner,POR,D,992,8,0,1,1.36,-0.36,4,0,0.42,1.78,0.088,2012
Orr Barouch,CHI,F,258,4,0,0,0.37,-0.37,6,0,0.54,0.91,0.078,2012
Keon Daniel,PHI,M,1633,20,0.2,1,1.38,-0.38,14,1,1.42,2.8,0.099,2012
Eric Avila,TOR,M,1447,27,0.333,1,1.38,-0.38,18,3,2.2,3.58,0.082,2012
Miguel Montano,MTL,M,128,7,0.286,0,0.39,-0.39,2,0,0.12,0.5,0.071,2012
Hendry Thomas,COL,M,730,8,0.5,0,0.39,-0.39,2,0,0.08,0.46,0.109,2012
Christian Tiffert,SEA,M,1030,7,0.429,0,0.39,-0.39,25,3,3.13,3.52,0.102,2012
Cesar Romero,CHV,F,428,5,0,0,0.4,-0.4,10,0,1.07,1.47,0.078,2012
Jair Benitez,FCD,D,2582,15,0.667,1,1.41,-0.41,25,0,1.48,2.88,0.119,2012
Julius James,CLB,D,783,4,0,0,0.42,-0.42,1,0,0.08,0.5,0.072,2012
Aaron Maund,TOR,D,1025,5,0.2,0,0.44,-0.44,1,0,0.02,0.46,0.085,2012
Daniel Hernandez,FCD,M,2149,12,0.833,0,0.44,-0.44,26,0,1.39,1.83,0.102,2012
Ashtone Morgan,TOR,D,2706,10,0.4,0,0.46,-0.46,21,3,2.46,2.92,0.093,2012
Samuel Ochoa,SEA,F,355,9,0.111,1,1.47,-0.47,4,1,0.59,2.07,0.08,2012
Seth Sinovic,SKC,D,2801,12,0.583,0,0.48,-0.48,14,2,1.25,1.73,0.102,2012
Nick Soolsma,TOR,F,360,6,0,0,0.48,-0.48,6,2,1.71,2.19,0.096,2012
Kris Boyd,POR,F,2008,63,0.175,7,7.49,-0.49,12,1,1.19,8.68,0.044,2012
Rafael Marquez,NYRB,M,1041,6,1,0,0.49,-0.49,10,3,1.35,1.84,0.134,2012
James Riley,CHV,D,3048,10,0.5,0,0.49,-0.49,29,2,3.58,4.07,0.124,2012
Kevin Alston,NE,D,2805,13,0.308,0,0.5,-0.5,15,1,1.17,1.66,0.097,2012
Andy O'Brien,VAN,D,707,2,0.5,0,0.5,-0.5,0,0,0,0.5,0.067,2012
Nat Borchers,RSL,D,2495,12,0.167,2,2.5,-0.5,5,0,0.15,2.65,0.079,2012
Lovel Palmer,POR,D,1420,15,0.467,0,0.5,-0.5,6,0,0.6,1.1,0.101,2012
Brent Richards,POR,F,215,5,0,0,0.51,-0.51,3,0,0.46,0.97,0.089,2012
Nemanja Vukovic,CLB,D,1181,15,0.6,0,0.51,-0.51,17,2,2.11,2.62,0.12,2012
Marc Burch,SEA,D,1976,8,0.625,0,0.52,-0.52,22,3,2.51,3.02,0.105,2012
Fernando Cardenas,NE,F,1137,27,0.259,2,2.53,-0.53,15,1,1.31,3.83,0.092,2012
Clyde Simms,NE,M,2431,14,0.5,0,0.53,-0.53,9,0,0.51,1.04,0.089,2012
Kai Herdling,PHI,M,218,6,0.167,0,0.54,-0.54,4,0,0.46,1,0.101,2012
Kwame Watson-Siriboe,RSL,D,979,5,0,0,0.55,-0.55,1,0,0.04,0.59,0.075,2012
Logan Emory,TOR,D,1767,9,0.222,0,0.55,-0.55,1,0,0.07,0.61,0.086,2012
Macoumba Kandji,HOU,F,1697,34,0.235,4,4.56,-0.56,15,2,1.06,5.62,0.066,2012
Sheanon Williams,PHI,D,2667,14,0.214,1,1.56,-0.56,24,2,2.8,4.36,0.102,2012
Sebastian Velasquez,RSL,M,417,7,0.286,0,0.56,-0.56,9,0,1.18,1.74,0.093,2012
Dimitry Imbongo Boele,NE,F,415,15,0.2,1,1.57,-0.57,7,0,0.57,2.14,0.079,2012
Luis Zapata,COL,D,2471,8,0.125,0,0.57,-0.57,19,1,1.25,1.83,0.105,2012
Marcelo Sarvas,LA,M,2075,41,0.293,2,2.58,-0.58,25,1,1.52,4.1,0.116,2012
Matt Besler,SKC,D,2971,7,0.143,0,0.58,-0.58,18,1,1.21,1.79,0.114,2012
Soony Saad,SKC,F,346,7,0.143,0,0.6,-0.6,4,0,0.19,0.79,0.055,2012
Jermaine Taylor,HOU,D,2469,16,0.375,1,1.6,-0.6,13,1,1.17,2.77,0.118,2012
Paulo Nagamura,SKC,M,1885,37,0.378,1,1.6,-0.6,16,0,1.11,2.71,0.07,2012
Jamison Olave,RSL,D,1853,6,0.167,0,0.61,-0.61,1,0,0.02,0.63,0.074,2012
Rodney Wallace,POR,D,1304,25,0.24,1,1.63,-0.63,15,1,1.74,3.36,0.134,2012
Jorge Perlaza,PHI,F,596,8,0,0,0.64,-0.64,5,0,0.49,1.13,0.052,2012
Josh Wolff,DCU,F,268,3,0,0,0.65,-0.65,0,0,0,0.65,0.089,2012
Nelson Rivas,MTL,D,922,8,0.25,0,0.65,-0.65,2,1,0.27,0.92,0.097,2012
Wells Thompson,CHI,M,740,11,0.091,0,0.65,-0.65,6,0,0.2,0.85,0.093,2012
Tony Cascio,COL,F,1776,53,0.226,3,3.66,-0.66,24,2,2.37,6.03,0.074,2012
Ryan Johnson,TOR,F,2955,67,0.149,7,7.66,-0.66,42,2,4.13,11.79,0.091,2012
Steven Beitashour,SJ,D,3154,11,0.364,0,0.67,-0.67,25,3,2.43,3.1,0.103,2012
Camilo Da Silva Sanvezzo,VAN,F,1806,64,0.312,5,5.67,-0.67,22,7,2.21,7.88,0.09,2012
Emiliano Dudar,DCU,D,955,4,0,0,0.68,-0.68,2,0,0.12,0.8,0.098,2012
Jack Jewsbury,POR,M,2943,35,0.429,3,3.68,-0.68,39,4,3.31,6.99,0.107,2012
Bryan Gaul,LA,D,861,4,0,0,0.7,-0.7,7,1,0.98,1.69,0.088,2012
Mamadou Danso,POR,D,908,5,0.2,0,0.73,-0.73,3,0,0.91,1.64,0.073,2012
David Ferreira,FCD,M,1524,21,0.333,2,2.74,-0.74,52,7,5.63,8.36,0.107,2012
Shea Salinas,SJ,M,1197,17,0.176,1,1.74,-0.74,23,5,2.72,4.46,0.101,2012
Federico Puppo,CHI,F,262,3,0,0,0.74,-0.74,2,1,0.12,0.87,0.051,2012
Hanyer Mosquera,POR,D,2220,8,0.125,0,0.75,-0.75,2,0,0.09,0.83,0.081,2012
Paulo de Araujo Junior,RSL,F,898,26,0.115,2,2.75,-0.75,25,2,2.32,5.07,0.073,2012
Rauwshan McKenzie,CHV,D,1825,5,0.2,0,0.76,-0.76,5,1,0.57,1.33,0.079,2012
Mehdi Ballouchy,SJ,M,1178,15,0.133,1,1.76,-0.76,23,2,1.55,3.32,0.11,2012
Luis Eduardo Schmidt,COL,F,362,7,0.143,0,0.77,-0.77,5,0,0.24,1,0.06,2012
Dan Gargan,CHI,D,1866,12,0,0,0.79,-0.79,13,0,1.12,1.91,0.116,2012
David Horst,POR,D,1970,17,0.118,1,1.79,-0.79,3,0,1.09,2.88,0.085,2012
Jhon Kennedy Hurtado,SEA,D,1953,5,0.2,0,0.79,-0.79,2,1,0.73,1.52,0.066,2012
Landon Donovan,LA,F,2401,65,0.231,9,9.8,-0.8,79,13,9.84,19.64,0.091,2012
Brad Evans,SEA,M,2482,35,0.229,4,4.81,-0.81,18,3,2.61,7.42,0.096,2012
Graham Zusi,SKC,M,2971,82,0.341,5,5.82,-0.82,99,11,7.8,13.62,0.108,2012
Jerry Bengtson,NE,F,1004,22,0.136,2,2.83,-0.83,8,0,0.62,3.45,0.053,2012
Pavel Pardo,CHI,M,2536,25,0.44,1,1.84,-0.84,39,4,2.23,4.07,0.103,2012
John Thorrington,VAN,M,1160,10,0.5,0,0.84,-0.84,8,0,0.41,1.26,0.115,2012
Nick LaBrocca,CHV,M,2409,36,0.25,2,2.85,-0.85,29,1,2.28,5.13,0.089,2012
Teal Bunbury,SKC,F,1348,50,0.2,5,5.85,-0.85,16,1,1.03,6.88,0.06,2012
Tony Beltran,RSL,D,3019,12,0.25,0,0.89,-0.89,11,1,1.44,2.33,0.106,2012
Edson Buddle,LA,F,1031,31,0.097,3,3.92,-0.92,11,1,1.47,5.39,0.072,2012
George John,FCD,D,1886,12,0,0,0.95,-0.95,2,0,0.07,1.02,0.09,2012
Stephen McCarthy,NE,M,2549,7,0.286,0,0.96,-0.96,4,1,0.46,1.41,0.08,2012
Osvaldo Alonso,SEA,M,2862,41,0.463,1,1.97,-0.97,23,0,1.27,3.25,0.126,2012
Ryan Smith,CHV,M,1282,23,0.043,0,0.98,-0.98,27,3,3.02,3.99,0.088,2012
Ben Zemanski,CHV,M,1748,15,0.333,0,1,-1,19,2,1.42,2.42,0.101,2012
Brian Carroll,PHI,M,3104,20,0.65,1,2.02,-1.02,17,1,1.42,3.44,0.095,2012
Kelyn Rowe,NE,M,2027,43,0.209,3,4.03,-1.03,27,4,2.29,6.32,0.076,2012
Julian de Guzman,FCD,M,2084,32,0.562,1,2.03,-1.03,19,3,2.19,4.22,0.116,2012
Rafael Baca,SJ,M,2679,24,0.292,1,2.03,-1.03,38,3,3.51,5.54,0.104,2012
Chance Myers,SKC,D,2718,20,0.25,0,1.04,-1.04,31,3,2.08,3.12,0.105,2012
Aaron Schoenfeld,CLB,F,328,6,0.5,0,1.04,-1.04,3,1,0.22,1.27,0.065,2012
Cam Weaver,HOU,F,284,9,0.111,0,1.06,-1.06,2,0,0.28,1.35,0.065,2012
Josh Williams,CLB,D,2629,24,0.25,1,2.07,-1.07,17,3,1.65,3.72,0.099,2012
Lionard Pajoy,PHI,F,2618,59,0.39,8,9.08,-1.08,30,3,2.78,11.86,0.058,2012
Perry Kitchen,DCU,M,2973,12,0.333,0,1.08,-1.08,12,1,0.74,1.83,0.083,2012
Geoff Cameron,HOU,D,1398,11,0.273,0,1.12,-1.12,8,1,0.99,2.1,0.109,2012
Blake Brettschneider,NE,F,975,17,0.235,2,3.12,-1.12,4,1,0.91,4.03,0.062,2012
Andy Najar,DCU,M,2179,15,0.267,0,1.15,-1.15,30,4,3.57,4.72,0.104,2012
Jackson Goncalves,FCD,M,1856,56,0.304,4,5.17,-1.17,25,4,3.56,8.72,0.084,2012
Danny Cruz,PHI,M,1960,39,0.385,2,3.17,-1.17,22,3,2.38,5.55,0.082,2012
Josue Martinez,PHI,F,675,15,0.2,1,2.17,-1.17,3,0,0.67,2.84,0.057,2012
Laurent Courtois,CHV,M,834,21,0.143,1,2.18,-1.18,11,1,1.68,3.86,0.089,2012
Ned Grabavoy,RSL,M,2061,10,0.1,0,1.2,-1.2,28,2,3.08,4.28,0.088,2012
Diego Chara,POR,M,2641,9,0.444,0,1.21,-1.21,31,0,1.86,3.07,0.102,2012
Mauro Rosales,SEA,M,2118,16,0.438,3,4.23,-1.23,74,11,7.03,11.26,0.1,2012
Sean Franklin,LA,D,3133,17,0.412,0,1.23,-1.23,24,4,3.63,4.86,0.105,2012
Joao Plata,TOR,F,681,20,0.5,0,1.23,-1.23,14,0,1.68,2.91,0.079,2012
Marco Di Vaio,MTL,F,1440,49,0.102,5,6.24,-1.24,31,1,3.43,9.68,0.071,2012
Amobi Okugo,PHI,M,2401,16,0.312,0,1.26,-1.26,10,1,1.32,2.58,0.102,2012
Matteo Ferrari,MTL,D,2164,12,0.25,0,1.27,-1.27,3,0,0.15,1.42,0.1,2012
Milovan Mirosevic,CLB,M,2269,46,0.326,4,5.3,-1.3,27,1,1.68,6.98,0.106,2012
Hassoun Camara,MTL,M,1853,15,0.133,1,2.31,-1.31,5,2,0.32,2.63,0.095,2012
Andrew Jacobson,FCD,M,2746,40,0.225,1,2.36,-1.36,19,1,1.63,3.99,0.088,2012
Jeff Parke,SEA,D,2725,17,0.176,0,1.41,-1.41,7,1,1.11,2.53,0.077,2012
Ike Opara,SJ,D,839,8,0,0,1.41,-1.41,2,0,0.65,2.07,0.08,2012
Jeff Larentowicz,COL,M,2960,61,0.213,3,4.43,-1.43,18,0,1.55,5.97,0.121,2012
Ryan Guy,NE,M,1965,34,0.147,1,2.44,-1.44,19,2,1.58,4.02,0.092,2012
Je-Vaughn Watson,HOU,M,1154,18,0.167,0,1.45,-1.45,11,0,0.69,2.14,0.096,2012
Eric Alexander,POR,M,1387,26,0.308,0,1.47,-1.47,21,4,1.74,3.21,0.103,2012
Casey Townsend,CHV,F,974,17,0.059,1,2.48,-1.48,10,1,1.47,3.95,0.068,2012
Davide Chiumiento,VAN,M,1329,22,0.364,0,1.49,-1.49,20,3,2.06,3.55,0.117,2012
Omar Cummings,COL,F,2091,76,0.197,6,7.52,-1.52,27,2,2.27,9.79,0.064,2012
Sebastian Grazzini,CHI,M,1132,30,0.3,2,3.53,-1.53,27,5,3.09,6.62,0.109,2012
Miller Bola–os,CHV,M,1954,68,0.265,3,4.54,-1.54,32,2,3.37,7.91,0.093,2012
Chris Schuler,RSL,D,1011,12,0,0,1.54,-1.54,4,1,0.97,2.51,0.088,2012
Alejandro Moreno,CHV,F,1606,18,0.167,2,3.59,-1.59,12,0,1.19,4.78,0.058,2012
Justin Braun,RSL,F,632,14,0.214,0,1.63,-1.63,6,1,0.22,1.85,0.064,2012
Olman Vargas,CLB,F,716,15,0.2,1,2.66,-1.66,8,0,0.46,3.12,0.056,2012
Dominic Oduro,CHI,F,1933,54,0.167,6,7.66,-1.66,27,3,1.82,9.48,0.058,2012
Sal Zizzo,POR,M,1262,24,0.333,1,2.7,-1.7,27,4,3.73,6.42,0.09,2012
Long Tan,DCU,F,290,15,0.133,1,2.76,-1.76,4,0,0.42,3.18,0.058,2012
Conor Casey,COL,F,1212,38,0.184,2,3.78,-1.78,17,2,2.32,6.1,0.066,2012
Roger Espinoza,SKC,M,2441,35,0.314,0,1.78,-1.78,44,2,3.87,5.66,0.102,2012
Dilly Duka,CLB,M,1121,36,0.25,0,1.84,-1.84,17,2,1.72,3.56,0.09,2012
Martin Rivero,COL,M,2715,61,0.311,2,3.85,-1.85,79,6,5.92,9.77,0.109,2012
Emilio Renteria,CLB,F,1643,50,0.14,3,4.93,-1.93,20,2,1.62,6.55,0.069,2012
Chad Barrett,LA,F,745,14,0.214,1,2.96,-1.96,10,3,0.86,3.81,0.071,2012
Jose Correa,CHV,F,756,15,0.2,2,3.99,-1.99,5,0,0.28,4.27,0.055,2012
Brian Ching,HOU,F,1482,35,0.143,5,7,-2,18,4,1.87,8.88,0.07,2012
Carlos Valdes,PHI,D,3118,24,0.333,2,4.13,-2.13,6,0,0.53,4.66,0.099,2012
Franck Songo'o,POR,M,1811,47,0.255,1,3.3,-2.3,44,4,4.73,8.04,0.118,2012
Tim Cahill,NYRB,M,1152,24,0.167,1,3.32,-2.32,12,2,2.23,5.55,0.108,2012
Jaime Castrillon,COL,M,2541,50,0.14,8,10.36,-2.36,27,4,2.44,12.8,0.078,2012
Collen Warner,MTL,M,2579,32,0.312,0,2.55,-2.55,22,0,1.79,4.34,0.101,2012
Benny Feilhaber,NE,M,2312,42,0.357,1,3.72,-2.72,46,2,3.54,7.25,0.115,2012
Kei Kamara,SKC,F,3072,134,0.254,11,14.02,-3.02,56,7,5.69,19.71,0.098,2012
David Junior Lopes,LA,D,1523,14,0.286,0,3.13,-3.13,1,0,0.03,3.16,0.079,2012
Juan Pablo Angel,CHV,F,1074,50,0.26,4,7.18,-3.18,16,0,1.57,8.75,0.079,2012
Michael Farfan,PHI,M,2992,53,0.415,1,4.3,-3.3,39,4,4.67,8.97,0.108,2012
Brek Shea,FCD,M,1857,55,0.327,3,6.76,-3.76,18,2,2.26,9.03,0.077,2012
Juan Agudelo,CHV,F,1657,44,0.205,3,7.39,-4.39,23,2,3.59,10.98,0.078,2012
Camilo Da Silva Sanvezzo,VAN,F,2549,123,0.382,22,15.31,6.69,37,5,3.32,18.63,0.08,2013
Marco Di Vaio,MTL,F,2902,118,0.254,20,13.53,6.47,25,2,2.31,15.85,0.059,2013
Diego Fagundez,NE,M,2570,55,0.182,13,7.72,5.28,27,5,2.48,10.19,0.067,2013
Robbie Keane,LA,F,2087,65,0.215,16,10.87,5.13,54,10,9.32,20.19,0.08,2013
Blas Perez,FCD,F,2184,56,0.232,11,6.38,4.62,27,2,1.97,8.35,0.069,2013
Mike Magee,CHI,F,2945,114,0.289,21,16.43,4.57,65,3,6.43,22.85,0.085,2013
Lloyd Sam,NYRB,M,960,7,0.143,5,1,4,14,1,2.5,3.5,0.073,2013
Darlington Nagbe,POR,F,3008,62,0.194,9,5.01,3.99,45,3,3.84,8.86,0.094,2013
Juan Agudelo,NE,F,1505,30,0.167,9,5.27,3.73,14,2,1.76,7.03,0.085,2013
Dominic Oduro,CLB,M,2994,92,0.207,13,9.5,3.5,34,3,2.54,12.03,0.073,2013
Kekuta Manneh,VAN,F,852,38,0.263,6,2.66,3.34,10,1,1.04,3.7,0.098,2013
Dillon Powers,COL,M,2608,27,0.37,5,1.7,3.3,65,5,4.93,6.63,0.104,2013
Will Johnson,POR,M,2686,55,0.418,9,5.74,3.26,32,3,2.84,8.58,0.104,2013
Kenny Miller,VAN,F,1742,41,0.195,8,4.77,3.23,26,1,2.64,7.42,0.077,2013
Dax McCarty,NYRB,M,2761,17,0.118,4,1.01,2.99,21,4,1.71,2.71,0.114,2013
Landon Donovan,LA,F,1979,38,0.158,10,7.05,2.95,59,7,6.01,13.06,0.098,2013
Alvaro Saborio,RSL,F,1430,53,0.189,12,9.07,2.93,14,2,1.94,11.01,0.055,2013
Tim Cahill,NYRB,M,2369,55,0.291,11,8.21,2.79,20,4,2.72,10.93,0.112,2013
Javier Morales,RSL,M,2436,46,0.348,8,5.24,2.76,96,7,8.92,14.16,0.137,2013
Kelyn Rowe,NE,M,2722,74,0.23,7,4.35,2.65,44,7,4.81,9.16,0.085,2013
Ryan Johnson,POR,F,1865,43,0.116,9,6.44,2.56,17,4,1.79,8.24,0.063,2013
Conor Casey,PHI,F,2331,64,0.188,10,7.55,2.45,37,5,4.5,12.05,0.078,2013
Jonathan Osorio,TOR,M,1845,28,0.214,5,2.6,2.4,23,1,2.45,5.05,0.103,2013
Kei Kamara,SKC,F,1125,42,0.19,7,4.69,2.31,16,1,1.39,6.08,0.095,2013
Diego Valeri,POR,M,2393,72,0.306,10,7.7,2.3,60,8,7.1,14.8,0.106,2013
Obafemi Martins,SEA,F,1564,43,0.116,8,5.72,2.28,11,2,1.78,7.49,0.073,2013
Jordan Harvey,VAN,D,2224,10,0.3,4,1.72,2.28,13,1,0.93,2.65,0.094,2013
Rodney Wallace,POR,F,2121,49,0.102,7,4.83,2.17,34,6,3.95,8.78,0.101,2013
Kyle Beckerman,RSL,M,2423,46,0.304,4,2,2,28,4,2.58,4.58,0.127,2013
Luis Gil,RSL,M,2193,36,0.111,5,3.03,1.97,19,0,1.5,4.53,0.083,2013
Ike Opara,SKC,D,1504,13,0.077,3,1.05,1.95,11,0,1.19,2.24,0.098,2013
Graham Zusi,SKC,F,2527,50,0.26,6,4.05,1.95,84,6,6.98,11.03,0.103,2013
Gershon Koffie,VAN,M,2034,25,0.52,3,1.15,1.85,14,2,1.06,2.21,0.106,2013
Ned Grabavoy,RSL,M,2883,29,0.172,5,3.39,1.61,50,5,3.72,7.11,0.087,2013
Darel Russell,TOR,M,1003,16,0.5,3,1.4,1.6,10,0,0.47,1.87,0.108,2013
Adam Moffat,SEA,M,2464,36,0.306,3,1.49,1.51,17,0,1.15,2.64,0.101,2013
Walker Zimmerman,FCD,D,452,4,0.25,2,0.51,1.49,1,0,0.03,0.54,0.08,2013
Jack McInerney,PHI,F,2338,86,0.186,12,10.51,1.49,23,0,2.12,12.64,0.063,2013
Claudio Bieler,SKC,F,2221,70,0.3,10,8.54,1.46,27,4,2.17,10.71,0.052,2013
Josh Williams,CLB,D,2449,21,0.095,3,1.55,1.45,21,0,1.47,3.02,0.101,2013
Hassoun Camara,MTL,D,3069,20,0.35,3,1.57,1.43,18,2,2.03,3.59,0.104,2013
Jamison Olave,NYRB,D,2543,11,0,4,2.62,1.38,0,0,0,2.62,0.081,2013
Eric Alexander,NYRB,M,2619,33,0.333,4,2.63,1.37,23,2,2.88,5.51,0.082,2013
Fabian Espindola,NYRB,F,2153,48,0.188,9,7.65,1.35,25,2,3.46,11.11,0.08,2013
Mauro Diaz,FCD,M,457,11,0.273,3,1.66,1.34,15,2,1.36,3.02,0.111,2013
Blake Smith,MTL,M,358,7,0.429,2,0.67,1.33,7,1,0.54,1.21,0.089,2013
Mauro Rosales,SEA,M,2273,24,0.417,4,2.67,1.33,61,8,5.62,8.29,0.09,2013
Olmes Garcia,RSL,F,1107,33,0.121,5,3.7,1.3,14,3,1.71,5.42,0.071,2013
Bryan de la Fuente,CHV,M,936,8,0,2,0.74,1.26,9,0,0.82,1.56,0.076,2013
Nathan Sturgis,COL,M,2158,27,0.444,4,2.77,1.23,21,1,1.24,4.01,0.117,2013
Eddie Johnson,SEA,F,1841,51,0.078,9,7.94,1.06,28,1,2.08,10.02,0.083,2013
Kalif Alhassan,POR,M,1424,34,0.294,3,1.95,1.05,22,3,1.75,3.7,0.101,2013
Eric Avila,CHV,M,2383,27,0.444,3,1.98,1.02,32,0,3.14,5.13,0.091,2013
Walter Martinez,SJ,M,993,16,0.25,2,1.01,0.99,15,1,1.7,2.71,0.098,2013
Erick Torres,CHV,F,1433,45,0.133,7,6.02,0.98,11,1,0.66,6.67,0.073,2013
Maxim Tissot,MTL,D,340,2,0.5,1,0.09,0.91,2,0,0.11,0.2,0.086,2013
Cole Grossman,RSL,M,173,2,0.5,1,0.11,0.89,1,0,0.09,0.2,0.09,2013
Gabriel Torres,COL,F,536,15,0.133,3,2.12,0.88,6,1,0.39,2.5,0.057,2013
Chad Barrett,NE,F,680,11,0.182,2,1.15,0.85,8,2,0.54,1.69,0.086,2013
Benny Feilhaber,SKC,M,1843,33,0.333,3,2.17,0.83,32,3,1.97,4.14,0.102,2013
Quincy Amarikwa,CHI,F,357,12,0.333,3,2.17,0.83,8,0,0.52,2.69,0.093,2013
Joao Plata,RSL,F,1747,50,0.2,4,3.2,0.8,26,8,2.91,6.11,0.069,2013
Joaquin Oscar Velazquez,CHV,D,1105,5,0,1,0.2,0.8,1,0,0.03,0.23,0.084,2013
Jose Goncalves,NE,D,3283,9,0.111,2,1.21,0.79,9,0,0.32,1.53,0.099,2013
Michael Stephens,LA,M,831,3,0,1,0.23,0.77,7,0,0.77,1,0.092,2013
Stephen Keel,FCD,D,539,3,0,1,0.24,0.76,1,0,0.06,0.3,0.079,2013
Lamar Neagle,SEA,F,2564,61,0.148,8,7.24,0.76,39,4,3.82,11.06,0.079,2013
Julio Morales,CHV,F,825,17,0.235,2,1.25,0.75,5,0,0.28,1.53,0.075,2013
Jared Jeffrey,DCU,M,832,16,0.312,2,1.28,0.72,13,0,0.62,1.9,0.114,2013
Andrew Driver,HOU,M,1812,24,0,3,2.28,0.72,29,0,2.69,4.97,0.09,2013
Lawrence Olum,SKC,D,1096,6,0.667,1,0.29,0.71,15,1,0.77,1.06,0.099,2013
Brian Carroll,PHI,M,3175,16,0.375,2,1.3,0.7,22,1,1.97,3.26,0.099,2013
Jonathan Steele,NYRB,M,2805,46,0.239,5,4.3,0.7,30,6,3.69,7.99,0.085,2013
Hector Jimenez,LA,M,1245,20,0.15,3,2.3,0.7,27,4,3.06,5.36,0.086,2013
Jair Benitez,FCD,D,2617,7,0.571,1,0.3,0.7,20,1,2.38,2.68,0.124,2013
Joel Lindpere,CHI,M,1527,18,0.111,2,1.31,0.69,32,8,3.56,4.87,0.09,2013
Matt Hedges,FCD,D,2987,13,0.077,3,2.32,0.68,6,0,0.51,2.83,0.091,2013
Giovani Casillas,CHV,M,200,3,0.333,1,0.32,0.68,3,0,0.47,0.79,0.076,2013
Kofi Opare,LA,D,554,2,0,1,0.33,0.67,0,0,0,0.33,0.075,2013
Matias Sanchez,CLB,M,865,6,0,1,0.33,0.67,11,1,0.5,0.84,0.113,2013
Jamie Smith,COL,M,195,7,0,1,0.34,0.66,2,0,0.17,0.51,0.105,2013
Steven Lenhart,SJ,F,1423,35,0.114,4,3.35,0.65,16,2,1.07,4.42,0.08,2013
Daigo Kobayashi,VAN,M,1745,18,0.5,2,1.36,0.64,37,4,2.82,4.18,0.082,2013
Fabio Alves Macedo,PHI,D,1069,9,0.444,1,0.37,0.63,14,2,1.5,1.87,0.114,2013
Justin Morrow,SJ,D,2106,7,0.286,1,0.39,0.61,10,1,0.72,1.11,0.101,2013
Andrew Jacobson,FCD,M,2444,40,0.25,3,2.4,0.6,13,1,1.45,3.85,0.085,2013
A.J. Soares,NE,D,1582,5,0,1,0.41,0.59,0,0,0,0.41,0.086,2013
Leandro Glauber,CLB,D,1239,5,0,1,0.42,0.58,2,0,0.09,0.51,0.086,2013
Michel Garbini Pereira,FCD,M,2442,29,0.69,3,2.42,0.58,47,6,6.1,8.53,0.125,2013
Jeremy Hall,TOR,M,2433,7,0.571,1,0.43,0.57,11,0,0.67,1.09,0.094,2013
Shalrie Joseph,SEA,M,635,6,0,1,0.45,0.55,7,0,0.61,1.06,0.124,2013
Jeb Brovsky,MTL,D,2789,14,0.071,2,1.47,0.53,14,0,0.75,2.22,0.11,2013
Bakary Soumare,CHI,D,2379,6,0.167,1,0.47,0.53,3,0,0.17,0.64,0.078,2013
Karl Ouimette,MTL,D,584,5,0,1,0.5,0.5,0,0,0,0.5,0.095,2013
Ramon Nunez,FCD,M,305,11,0.091,1,0.5,0.5,5,2,0.79,1.29,0.1,2013
Rafael Texeira de Souza,DCU,F,357,7,0.143,1,0.5,0.5,0,0,0,0.5,0.049,2013
Andrea Pisanu,MTL,M,667,10,0.2,1,0.52,0.48,19,1,1.53,2.05,0.081,2013
Antoine Hoppenot,PHI,F,886,20,0,3,2.53,0.47,11,2,1.06,3.59,0.075,2013
Ben Zemanski,POR,M,1167,8,0.125,1,0.53,0.47,8,1,1.11,1.64,0.095,2013
Yordany Alvarez,RSL,M,1094,10,0.3,1,0.57,0.43,5,0,0.17,0.74,0.129,2013
Charlie Rugg,LA,F,162,2,0,1,0.58,0.42,1,0,0.03,0.61,0.068,2013
Collen Warner,MTL,M,956,10,0.6,1,0.6,0.4,5,0,0.32,0.92,0.089,2013
Steven Beitashour,SJ,D,2592,5,0.4,1,0.63,0.37,17,2,1.98,2.61,0.099,2013
Maximiliano Urruti,POR,F,368,6,0,1,0.64,0.36,4,0,0.17,0.81,0.053,2013
Patrick Nyarko,CHI,M,2267,40,0.325,4,3.65,0.35,38,4,5.02,8.67,0.097,2013
Tilson Oswaldo Minda,CHV,M,1285,6,0.333,1,0.65,0.35,5,0,0.38,1.03,0.095,2013
Soony Saad,SKC,F,1441,58,0.259,4,3.67,0.33,29,4,2.68,6.35,0.074,2013
Perry Kitchen,DCU,M,2936,10,0.1,1,0.68,0.32,22,3,1.72,2.4,0.095,2013
Hunter Jumper,CHI,D,191,2,0,1,0.69,0.31,1,1,0.65,1.34,0.084,2013
Sal Zizzo,POR,M,300,2,1,1,0.7,0.3,3,0,0.14,0.84,0.108,2013
C.J. Sapong,SKC,F,1702,33,0.152,4,3.71,0.29,15,2,1.08,4.79,0.069,2013
