Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Faryd Mondragon,PHI,GK,2521,0,,0,0,0,2,0,0.11,0.11,0.07,2011
Jimmy Nielsen,SKC,GK,2974,0,,0,0,0,0,0,0,0,0.056,2011
Bratislav Ristic,CHI,M,443,0,,0,0,0,3,0,0.26,0.26,0.099,2011
Nick Rimando,RSL,GK,3141,0,,0,0,0,0,0,0,0,0.073,2011
Jon Busch,SJ,GK,3139,0,,0,0,0,1,0,0.17,0.17,0.081,2011
Zach Thornton,CHV,GK,195,0,,0,0,0,0,0,0,0,0.055,2011
Adin Brown,POR,GK,140,0,,0,0,0,0,0,0,0,0.056,2011
Kevin Hartman,FCD,GK,3160,0,,0,0,0,0,0,0,0,0.071,2011
Matt Reis,NE,GK,2579,0,,0,0,0,2,1,0.08,0.08,0.093,2011
Joe Cannon,VAN,GK,1906,0,,0,0,0,0,0,0,0,0.072,2011
Jon Conway,CHI,GK,576,0,,0,0,0,0,0,0,0,0.058,2011
Eddie Robinson,HOU,D,153,0,,0,0,0,0,0,0,0,0.107,2011
Donovan Ricketts,LA,GK,1357,0,,0,0,0,0,0,0,0,0.065,2011
Greg Sutton,NYRB,GK,953,0,,0,0,0,0,0,0,0,0.065,2011
Matt Pickens,COL,GK,3259,0,,0,0,0,2,0,0.08,0.08,0.063,2011
William Hesmer,CLB,GK,3035,0,,0,0,0,4,0,0.18,0.18,0.071,2011
Danny O'Rourke,CLB,D,494,0,,0,0,0,2,0,0.08,0.08,0.091,2011
Jed Zayner,DCU,D,324,0,,0,0,0,2,1,0.14,0.14,0.132,2011
Andy Gruenebaum,CLB,GK,188,0,,0,0,0,0,0,0,0,0.085,2011
Troy Perkins,POR,GK,2755,0,,0,0,0,0,0,0,0,0.076,2011
Jay Nolly,VAN,GK,1337,0,,0,0,0,1,0,0.04,0.04,0.069,2011
Kurt Morsink,DCU,M,160,0,,0,0,0,0,0,0,0,0.106,2011
Eric Kronberg,SKC,GK,319,0,,0,0,0,0,0,0,0,0.072,2011
Chris Konopka,NYRB,GK,94,0,,0,0,0,0,0,0,0,0.044,2011
Marvell Wynne,COL,D,2702,0,,0,0,0,3,0,0.15,0.15,0.091,2011
Bouna Coundoul,NYRB,GK,1090,0,,0,0,0,0,0,0,0,0.058,2011
Shavar Thomas,SKC,D,49,0,,0,0,0,0,0,0,0,0.097,2011
Steve Cronin,DCU,GK,142,0,,0,0,0,0,0,0,0,0.086,2011
Kyle Reynish,RSL,GK,95,0,,0,0,0,0,0,0,0,0.045,2011
Chris Seitz,FCD,GK,94,0,,0,0,0,0,0,0,0,0.072,2011
Jack Stewart,FCD,D,120,0,,0,0,0,2,1,0.44,0.44,0.075,2011
Jason Hernandez,SJ,D,2630,0,,0,0,0,3,0,0.38,0.38,0.083,2011
Eddy Viator,TOR,D,202,0,,0,0,0,0,0,0,0,0.111,2011
Miguel Comminges,COL,D,355,0,,0,0,0,0,0,0,0,0.099,2011
Marko Maric,CHI,M,19,0,,0,0,0,0,0,0,0,0.119,2011
Alexandre Morfaw,VAN,M,143,0,,0,0,0,1,0,0.02,0.02,0.131,2011
Rauwshan McKenzie,RSL,D,187,0,,0,0,0,0,0,0,0,0.07,2011
Bryan Jordan,LA,D,648,0,,0,0,0,9,2,0.4,0.4,0.095,2011
Dan Kennedy,CHV,GK,3047,0,,0,0,0,1,0,0.04,0.04,0.066,2011
Gerson Mayen,CHV,M,116,0,,0,0,0,5,1,0.17,0.17,0.111,2011
Tally Hall,HOU,GK,3240,0,,0,0,0,1,0,0.17,0.17,0.07,2011
Brian Nielsen,NYRB,M,8,0,,0,0,0,0,0,0,0,0.155,2011
Kyle Davies,TOR,D,27,0,,0,0,0,1,0,0.02,0.02,0.073,2011
Josh Saunders,LA,GK,1793,0,,0,0,0,1,0,0.08,0.08,0.065,2011
Milos Kocic,TOR,GK,699,0,,0,0,0,0,0,0,0,0.081,2011
Stefan Frei,TOR,GK,2557,0,,0,0,0,2,1,0.1,0.1,0.086,2011
Peterson Joseph,SKC,M,10,0,,0,0,0,0,0,0,0,0.251,2011
Amadou Sanyang,SEA,D,11,0,,0,0,0,0,0,0,0,0.094,2011
Bobby Shuttleworth,NE,GK,663,0,,0,0,0,0,0,0,0,0.079,2011
Daniel Cyrus,SKC,D,114,0,,0,0,0,0,0,0,0,0.082,2011
Sean Johnson,CHI,GK,2685,0,,0,0,0,0,0,0,0,0.072,2011
Brian Perk,LA,GK,97,0,,0,0,0,0,0,0,0,0.072,2011
Korede Aiyegbusi,SKC,D,104,0,,0,0,0,1,0,0.03,0.03,0.164,2011
Bill Hamid,DCU,GK,2617,0,,0,0,0,2,0,0.07,0.07,0.067,2011
Omar Jasseh,SJ,M,17,0,,0,0,0,0,0,0,0,0.072,2011
Miguel Montano,SEA,M,39,0,,0,0,0,0,0,0,0,0.064,2011
Alex Horwath,NYRB,GK,94,0,,0,0,0,0,0,0,0,0.066,2011
Cole Grossman,CLB,M,22,0,,0,0,0,0,0,0,0,0.111,2011
David Bingham,SJ,GK,95,0,,0,0,0,2,1,0.16,0.16,0.111,2011
Hector Jimenez,LA,M,119,0,,0,0,0,2,0,0.23,0.23,0.098,2011
Ryan Thomas,LA,D,14,0,,0,0,0,0,0,0,0,0.106,2011
Chris Korb,DCU,D,1069,0,,0,0,0,11,2,0.78,0.78,0.103,2011
Mike Jones,NYRB,D,2,0,,0,0,0,0,0,0,0,0.069,2011
Zac MacMath,PHI,GK,726,0,,0,0,0,0,0,0,0,0.074,2011
Victor Ulloa,FCD,M,12,0,,0,0,0,0,0,0,0,0.15,2011
Chris Agorsor,RSL,F,13,0,,0,0,0,1,0,0.04,0.04,0,2011
Rodrigo Brasesco,DCU,D,166,0,,0,0,0,0,0,0,0,0.095,2011
Scott Lorenz,SKC,D,87,0,,0,0,0,0,0,0,0,0.098,2011
Jake Gleeson,POR,GK,332,0,,0,0,0,0,0,0,0,0.065,2011
Joe Willis,DCU,GK,283,0,,0,0,0,0,0,0,0,0.082,2011
Ryan Kinne,NE,F,4,0,,0,0,0,0,0,0,0,0.096,2011
Demitrius Omphroy,TOR,D,2,0,,0,0,0,0,0,0,0,0,2011
Davis Paul,CHI,F,46,0,,0,0,0,0,0,0,0,0.129,2011
Matt Gold,TOR,D,55,0,,0,0,0,0,0,0,0,0.093,2011
Aaron Horton,CLB,F,6,0,,0,0,0,0,0,0,0,0.026,2011
Maxell Griffin,SJ,F,62,0,,0,0,0,1,0,0.04,0.04,0.05,2011
Lawrence Olum,SKC,D,16,0,,0,0,0,0,0,0,0,0.091,2011
Carlyle Mitchell,VAN,D,254,0,,0,0,0,0,0,0,0,0.08,2011
Morgan Langley,PHI,M,14,0,,0,0,0,0,0,0,0,0.045,2011
Yordany Alvarez,RSL,M,444,0,,0,0,0,1,0,0.02,0.02,0.109,2011
Jimmy Conrad,CHV,D,195,3,0.667,1,1,0,0,0,0,1,0.103,2011
Mouloud Akloul,VAN,D,658,1,1,0,0.01,-0.01,0,0,0,0.01,0.072,2011
Daniel Cruz,FCD,M,617,7,0.429,1,1.01,-0.01,8,0,0.7,1.7,0.096,2011
John Rooney,NYRB,M,62,1,1,0,0.02,-0.02,0,0,0,0.02,0.09,2011
Santino Quaranta,DCU,F,1189,23,0.174,1,1.02,-0.02,27,4,2.38,3.4,0.101,2011
Danny Earls,COL,D,239,1,1,0,0.02,-0.02,0,0,0,0.02,0.127,2011
Jeff Cunningham,CLB,F,658,13,0.154,2,2.02,-0.02,4,0,0.28,2.3,0.062,2011
Je-Vaughn Watson,HOU,M,1267,12,0.333,1,1.02,-0.02,14,2,1.89,2.91,0.09,2011
Edgar Trujillo,CHV,D,505,5,0.4,1,1.03,-0.03,8,0,0.75,1.78,0.123,2011
Edmundo Zura,SJ,F,24,1,0,0,0.03,-0.03,0,0,0,0.03,0.038,2011
Matt Kassel,NYRB,M,92,1,0,0,0.03,-0.03,0,0,0,0.03,0.1,2011
Mehdi Ballouchy,NYRB,M,1607,23,0.304,2,2.04,-0.04,21,0,1.57,3.61,0.094,2011
Peter Lowry,POR,M,157,1,1,0,0.04,-0.04,3,0,0.13,0.17,0.102,2011
Ross LaBauex,COL,M,344,2,0,0,0.05,-0.05,2,0,0.16,0.2,0.076,2011
