Name	Position	Team	Games	Season	Age	Salary	Goals	Assists	Goals_Sixty	Assists_Sixty	CF_Percent	PDO	SH_Percent	CFRel_Percent	CF_Percent	Corsi	CorsiFor	CorsiAgainst	Shots	TOI
Nik.Antropov	RC	NYR/TOR	87	20082009	28	2.15	17	19	0.94	1.05	52.77	97.4	10.43	2.92	49.85	116	1106	990	146	1083.65
Nik.Antropov	RC	ATL	76	20092010	29	3.5	15	27	0.88	1.58	48.29	104.99	18.99	-0.17	48.46	-63	891	954	64	1026.39
Nik.Antropov	RC	ATL	75	20102011	30	3.75	11	12	0.7	0.76	46.58	99.04	14.67	-3.23	49.81	-117	797	914	64	947.62
Nik.Antropov	RC	WPG	69	20112012	31	4.25	10	14	0.73	1.02	50.58	99.74	12.99	0.47	50.11	18	786	768	67	822.99
Nik.Antropov	RC	WPG	40	20122013	32	4.75	4	10	0.44	1.1	48.1	102.57	7.84	-1.06	49.16	-38	482	520	47	545.12
Darren.Archibald	L	VAN	16	20132014	23	0.66	1	2	0.47	0.94	47.25	102.3	9.09	-3.59	50.84	-12	103	115	10	127.99
Josh.Archibald	RL	PIT	1	20152016	22	0.667	0	0	0	0	12.5	NA	NA	-51.25	63.75	-6	1	7	0	5.61
Mark.Arcobello	CR	EDM	1	20122013	24	0.64	0	0	0	0	36	100	NA	-12.44	48.44	-7	9	16	0	16.15
Mark.Arcobello	CR	EDM	41	20132014	25	0.6	3	12	0.36	1.45	48.1	100.12	5.17	3.68	44.42	-35	443	478	55	495.38
Mark.Arcobello	CR	EDM/NSH/PIT/ARI	77	20142015	26	0.6	13	9	0.79	0.55	52.25	98.35	11.93	2.73	49.52	81	941	860	96	985.17
Mark.Arcobello	CR	TOR	20	20152016	27	1.1	3	0	0.87	0	58.12	100.05	10.34	5.11	53.01	64	229	165	26	208.01
Joel.Armia	R	BUF	1	20142015	21	0.925	0	0	0	0	26.67	100	NA	-0.92	27.59	-7	4	11	0	14.59
Joel.Armia	R	WPG	34	20152016	22	0.833	3	2	0.46	0.31	51.13	98.7	7.89	-1.19	52.32	14	318	304	35	388.28
Colby.Armstrong	RL	PIT/ATL	72	20072008	24	1.2	11	15	0.76	1.03	46.96	101.41	11.83	3.78	43.18	-94	727	821	82	874.04
Colby.Armstrong	RL	ATL	82	20082009	25	1.2	18	17	1.08	1.02	50.06	102.22	15.13	5.22	44.84	2	883	881	101	997.76
Colby.Armstrong	RL	ATL	79	20092010	26	2.4	14	10	0.9	0.64	49.36	101.49	15.73	0.63	48.73	-22	850	872	75	934.89
Colby.Armstrong	RL	TOR	50	20102011	27	3	8	15	0.74	1.39	48.37	101.94	13.11	1.07	47.29	-39	577	616	53	647.31
Colby.Armstrong	RL	TOR	29	20112012	28	3	1	2	0.23	0.46	44.13	93.73	7.14	-4.49	48.62	-50	188	238	13	263.69
Colby.Armstrong	RL	MTL	41	20122013	29	1	2	2	0.32	0.32	46.52	101.9	6.45	-6.78	53.29	-43	287	330	29	377.97
Derek.Armstrong	C	L.A	77	20072008	34	1.4	7	19	0.5	1.34	52.17	100.38	7.69	9.15	43.02	68	818	750	84	847.73
Derek.Armstrong	C	L.A	56	20082009	35	1.6	4	4	0.51	0.51	49.87	95.67	9.76	0.05	49.81	-2	379	381	37	470.43
Derek.Armstrong	C	STL	6	20092010	36	0.688	0	0	0	0	53.97	88.89	0	10.02	43.95	5	34	29	4	37.21
Riley.Armstrong	RL	S.J	2	20082009	23	0.475	0	0	0	0	41.18	85.71	0	-15.25	56.43	-3	7	10	1	12.11
Tyler.Arnason	CL	COL	80	20072008	28	1.6	8	15	0.5	0.93	51.6	98.54	5.48	5.5	46.1	50	805	755	138	964.15
Tyler.Arnason	CL	COL	71	20082009	29	1.75	3	15	0.21	1.04	47.72	97.17	3.19	1.21	46.5	-70	731	801	91	864.07
Jamie.Arniel	CR	BOS	1	20102011	20	0.57	0	0	0	0	59.26	80	0	-2.41	61.67	5	16	11	3	12.16
Bill.Arnold	C	CGY	1	20132014	21	0.9	0	0	0	0	50	66.67	NA	7.58	42.42	0	10	10	0	13.38
