Team,Year,GameMinute,Kicker,Distance,ScoreDiff,Grass,Success
DEN,2005,47,Elam,47,17,TRUE,1
DEN,2005,62,Elam,24,0,FALSE,1
DEN,2005,42,Elam,22,-3,TRUE,1
DEN,2005,47,Elam,40,0,TRUE,1
DEN,2005,7,Elam,47,-3,TRUE,1
DEN,2005,30,Elam,48,0,TRUE,1
DEN,2005,5,Elam,29,0,TRUE,1
DEN,2005,32,Elam,33,16,TRUE,1
DEN,2005,36,Elam,34,19,TRUE,1
DEN,2005,42,Elam,52,22,TRUE,0
DEN,2005,48,Elam,28,9,TRUE,0
DEN,2005,30,Elam,50,4,TRUE,1
DEN,2005,57,Elam,34,11,TRUE,1
DEN,2005,21,Elam,23,-10,TRUE,1
BAL,2005,30,Elling,54,-17,FALSE,0
NYG,2005,38,Feely,39,11,FALSE,1
NYG,2005,54,Feely,30,14,FALSE,1
NYG,2005,7,Feely,22,0,TRUE,1
NYG,2005,30,Feely,40,-4,TRUE,1
NYG,2005,48,Feely,28,-15,TRUE,1
NYG,2005,7,Feely,38,7,FALSE,1
NYG,2005,21,Feely,32,17,FALSE,1
NYG,2005,52,Feely,23,17,FALSE,1
NYG,2005,5,Feely,50,0,FALSE,1
NYG,2005,22,Feely,45,3,FALSE,1
NYG,2005,29,Feely,52,-6,FALSE,1
NYG,2005,4,Feely,39,0,FALSE,1
NYG,2005,15,Feely,50,3,FALSE,1
NYG,2005,23,Feely,51,13,FALSE,0
NYG,2005,28,Feely,33,13,FALSE,1
NYG,2005,30,Feely,39,16,FALSE,1
NYG,2005,41,Feely,44,26,FALSE,1
NYG,2005,6,Feely,22,0,TRUE,1
NYG,2005,19,Feely,35,-7,FALSE,1
NYG,2005,27,Feely,48,-4,FALSE,1
NYG,2005,29,Feely,28,-1,FALSE,0
NYG,2005,16,Feely,26,0,FALSE,1
NYG,2005,39,Feely,27,3,FALSE,1
NYG,2005,26,Feely,39,-7,FALSE,1
NYG,2005,35,Feely,43,3,FALSE,1
NYG,2005,60,Feely,40,0,FALSE,0
NYG,2005,65,Feely,54,0,FALSE,0
NYG,2005,69,Feely,45,0,FALSE,0
NYG,2005,28,Feely,27,7,FALSE,1
NYG,2005,55,Feely,33,7,FALSE,0
NYG,2005,25,Feely,24,7,TRUE,1
NYG,2005,42,Feely,21,0,TRUE,1
NYG,2005,50,Feely,27,3,TRUE,1
NYG,2005,72,Feely,36,0,TRUE,1
NYG,2005,30,Feely,41,4,FALSE,1
NYG,2005,45,Feely,35,0,FALSE,1
NYG,2005,12,Feely,47,-7,TRUE,1
NYG,2005,37,Feely,29,-4,TRUE,0
NYG,2005,42,Feely,38,-11,TRUE,1
NYG,2005,18,Feely,25,0,TRUE,1
NYG,2005,28,Feely,38,10,TRUE,1
NYG,2005,46,Feely,46,6,TRUE,1
PHI,2005,23,France,40,-17,TRUE,0
PHI,2005,33,France,44,-11,TRUE,1
PHI,2005,49,France,37,0,TRUE,1
PHI,2005,57,France,26,10,TRUE,1
PHI,2005,20,France,23,-17,FALSE,1
PHI,2005,36,France,23,7,TRUE,1
PHI,2005,54,France,40,-7,TRUE,1
TB,2005,15,France,43,0,TRUE,0
TB,2005,51,France,28,4,TRUE,1
CHI,2005,21,Gould,44,-3,TRUE,1
CHI,2005,28,Gould,48,0,TRUE,0
CHI,2005,43,Gould,23,1,TRUE,1
CHI,2005,52,Gould,47,4,TRUE,0
CHI,2005,29,Gould,38,4,FALSE,1
CHI,2005,30,Gould,20,7,FALSE,1
CHI,2005,30,Gould,35,-3,TRUE,1
CHI,2005,33,Gould,47,0,TRUE,0
CHI,2005,60,Gould,28,0,TRUE,1
CHI,2005,15,Gould,39,0,TRUE,0
CHI,2005,53,Gould,37,5,TRUE,1
CHI,2005,10,Gould,33,7,TRUE,1
CHI,2005,23,Gould,39,10,TRUE,1
CHI,2005,30,Gould,25,4,TRUE,1
CHI,2005,42,Gould,36,7,TRUE,1
CHI,2005,17,Gould,21,0,TRUE,1
CHI,2005,26,Gould,40,-4,TRUE,1
CHI,2005,30,Gould,25,-1,TRUE,1
CHI,2005,52,Gould,35,2,TRUE,1
CHI,2005,56,Gould,43,5,TRUE,0
CHI,2005,13,Gould,29,-7,TRUE,1
CHI,2005,24,Gould,35,-3,TRUE,1
CHI,2005,27,Gould,29,0,TRUE,1
CHI,2005,45,Gould,39,10,TRUE,1
CHI,2005,56,Gould,44,13,TRUE,0
CHI,2005,36,Gould,45,7,TRUE,1
CHI,2005,10,Gould,22,0,FALSE,1
CIN,2005,22,Graham,32,4,TRUE,1
CIN,2005,37,Graham,23,14,TRUE,1
CIN,2005,25,Graham,40,14,FALSE,1
CIN,2005,27,Graham,29,17,FALSE,1
CIN,2005,55,Graham,30,34,FALSE,1
CIN,2005,10,Graham,33,7,TRUE,1
CIN,2005,11,Graham,24,0,FALSE,1
CIN,2005,45,Graham,42,0,FALSE,0
CIN,2005,55,Graham,27,0,FALSE,1
CIN,2005,59,Graham,46,3,FALSE,1
CIN,2005,38,Graham,31,-13,TRUE,1
CIN,2005,41,Graham,48,-10,TRUE,1
CIN,2005,12,Graham,52,0,TRUE,0
CIN,2005,38,Graham,21,-3,TRUE,1
CIN,2005,6,Graham,30,0,FALSE,0
CIN,2005,13,Graham,26,0,FALSE,1
CIN,2005,30,Graham,39,-4,FALSE,1
CIN,2005,41,Graham,48,8,FALSE,0
CIN,2005,11,Graham,43,-7,FALSE,1
CIN,2005,29,Graham,41,-18,FALSE,1
CIN,2005,59,Graham,44,-11,FALSE,1
CIN,2005,15,Graham,26,0,FALSE,1
CIN,2005,39,Graham,31,31,FALSE,1
CIN,2005,34,Graham,30,4,TRUE,1
CIN,2005,23,Graham,21,-7,FALSE,1
CIN,2005,30,Graham,27,-4,FALSE,1
CIN,2005,60,Graham,37,0,FALSE,1
CIN,2005,4,Graham,28,0,FALSE,1
CIN,2005,59,Graham,33,21,FALSE,1
CIN,2005,41,Graham,31,1,FALSE,1
CIN,2005,53,Graham,27,-3,FALSE,1
CIN,2005,13,Graham,49,-3,TRUE,1
CIN,2005,9,Graham,23,0,FALSE,1
WAS,2005,15,Hall,45,7,FALSE,0
WAS,2005,27,Hall,38,0,FALSE,1
WAS,2005,23,Hall,40,0,TRUE,1
WAS,2005,29,Hall,43,3,TRUE,1
WAS,2005,43,Hall,19,-1,TRUE,1
WAS,2005,18,Hall,24,-7,TRUE,1
WAS,2005,12,Hall,33,-7,TRUE,1
WAS,2005,29,Hall,40,-11,TRUE,1
WAS,2005,22,Hall,24,4,TRUE,1
WAS,2005,30,Hall,45,7,TRUE,1
WAS,2005,10,Hall,38,0,TRUE,1
WAS,2005,60,Hall,53,0,TRUE,0
WAS,2005,15,Hall,41,0,TRUE,1
WAS,2005,29,Hall,25,-10,TRUE,1
WAS,2005,25,Hall,47,11,TRUE,1
WAS,2005,21,Hall,26,0,FALSE,1
WAS,2005,52,Hall,36,-7,FALSE,0
DET,2005,37,Hanson,21,4,FALSE,1
DET,2005,19,Hanson,44,-3,TRUE,1
DET,2005,53,Hanson,23,-7,TRUE,1
DET,2005,10,Hanson,47,0,FALSE,0
DET,2005,45,Hanson,52,0,FALSE,1
DET,2005,55,Hanson,25,3,FALSE,1
DET,2005,16,Hanson,47,-3,TRUE,0
DET,2005,36,Hanson,47,-3,TRUE,1
DET,2005,46,Hanson,50,0,TRUE,1
DET,2005,4,Hanson,46,0,FALSE,0
DET,2005,11,Hanson,32,0,FALSE,1
DET,2005,47,Hanson,30,-3,FALSE,1
DET,2005,4,Hanson,51,0,FALSE,0
DET,2005,30,Hanson,26,13,FALSE,1
DET,2005,52,Hanson,20,12,FALSE,1
DET,2005,49,Hanson,50,-13,FALSE,0
DET,2005,7,Hanson,45,0,FALSE,1
DET,2005,30,Hanson,26,-11,FALSE,1
DET,2005,44,Hanson,28,-15,FALSE,1
DET,2005,4,Hanson,19,0,TRUE,1
DET,2005,8,Hanson,23,3,TRUE,1
DET,2005,40,Hanson,45,-24,FALSE,1
DET,2005,53,Hanson,21,-2,FALSE,1
DET,2005,60,Hanson,39,-2,FALSE,1
OAK,2005,19,Janikowski,43,-3,TRUE,0
OAK,2005,22,Janikowski,29,-7,TRUE,1
OAK,2005,33,Janikowski,50,-7,TRUE,0
OAK,2005,7,Janikowski,49,7,TRUE,0
OAK,2005,29,Janikowski,28,1,TRUE,1
OAK,2005,48,Janikowski,26,-10,TRUE,1
OAK,2005,55,Janikowski,37,-7,TRUE,0
OAK,2005,8,Janikowski,30,0,TRUE,1
OAK,2005,37,Janikowski,23,7,TRUE,1
OAK,2005,50,Janikowski,49,7,TRUE,1
OAK,2005,56,Janikowski,43,3,TRUE,1
OAK,2005,16,Janikowski,25,-7,TRUE,1
OAK,2005,9,Janikowski,22,7,TRUE,1
OAK,2005,44,Janikowski,32,2,TRUE,1
OAK,2005,7,Janikowski,32,0,TRUE,1
OAK,2005,16,Janikowski,49,3,TRUE,1
OAK,2005,30,Janikowski,48,0,TRUE,1
OAK,2005,28,Janikowski,45,-10,TRUE,0
OAK,2005,48,Janikowski,40,-16,TRUE,1
OAK,2005,15,Janikowski,30,-7,TRUE,1
OAK,2005,28,Janikowski,45,-7,TRUE,0
OAK,2005,52,Janikowski,25,-3,TRUE,1
OAK,2005,59,Janikowski,19,0,TRUE,1
OAK,2005,4,Janikowski,37,0,TRUE,1
OAK,2005,30,Janikowski,61,-7,TRUE,0
OAK,2005,30,Janikowski,42,-6,FALSE,1
OAK,2005,33,Janikowski,29,-3,FALSE,0
OAK,2005,19,Janikowski,51,0,TRUE,0
OAK,2005,57,Janikowski,46,1,TRUE,0
OAK,2005,46,Janikowski,43,-22,TRUE,1
SD,2005,45,Kaeding,33,0,TRUE,1
SD,2005,55,Kaeding,42,-3,TRUE,1
SD,2005,56,Kaeding,44,19,TRUE,1
SD,2005,9,Kaeding,42,0,TRUE,1
SD,2005,56,Kaeding,21,14,TRUE,1
SD,2005,34,Kaeding,34,-7,TRUE,1
SD,2005,42,Kaeding,32,-4,TRUE,1
SD,2005,49,Kaeding,41,-1,TRUE,1
SD,2005,20,Kaeding,32,7,TRUE,1
SD,2005,39,Kaeding,33,17,TRUE,1
SD,2005,50,Kaeding,34,4,TRUE,1
SD,2005,58,Kaeding,40,4,TRUE,0
SD,2005,52,Kaeding,18,8,FALSE,1
SD,2005,41,Kaeding,28,25,TRUE,1
SD,2005,46,Kaeding,38,28,TRUE,1
SD,2005,4,Kaeding,42,0,TRUE,0
SD,2005,34,Kaeding,46,-3,TRUE,0
SD,2005,46,Kaeding,48,-10,TRUE,1
SD,2005,7,Kaeding,41,-3,TRUE,1
SD,2005,47,Kaeding,32,14,TRUE,1
SD,2005,14,Kaeding,36,7,FALSE,1
SD,2005,30,Kaeding,20,10,FALSE,1
SD,2005,36,Kaeding,48,13,FALSE,1
SD,2005,54,Kaeding,49,-1,FALSE,1
CAR,2005,54,Kasay,39,-6,TRUE,1
CAR,2005,59,Kasay,46,-3,TRUE,1
CAR,2005,26,Kasay,51,0,TRUE,1
CAR,2005,33,Kasay,52,10,TRUE,1
CAR,2005,8,Kasay,52,-7,TRUE,1
CAR,2005,18,Kasay,32,0,TRUE,1
CAR,2005,38,Kasay,38,16,TRUE,1
CAR,2005,10,Kasay,46,0,TRUE,1
CAR,2005,30,Kasay,53,-7,TRUE,0
CAR,2005,30,Kasay,62,-7,TRUE,0
CAR,2005,29,Kasay,52,0,FALSE,0
CAR,2005,10,Kasay,56,7,TRUE,0
CAR,2005,21,Kasay,44,7,TRUE,1
CAR,2005,6,Kasay,30,0,TRUE,1
CAR,2005,41,Kasay,20,17,TRUE,1
CAR,2005,30,Kasay,23,4,TRUE,1
CAR,2005,49,Kasay,42,14,TRUE,1
CAR,2005,53,Kasay,28,17,TRUE,1
CAR,2005,13,Kasay,46,-10,TRUE,0
CAR,2005,52,Kasay,38,-13,TRUE,1
CAR,2005,15,Kasay,25,0,FALSE,1
CAR,2005,41,Kasay,45,-3,FALSE,0
CAR,2005,45,Kasay,25,-3,FALSE,1
CAR,2005,54,Kasay,20,8,TRUE,1
CAR,2005,4,Kasay,42,0,TRUE,0
CAR,2005,44,Kasay,39,-13,TRUE,1
CAR,2005,25,Kasay,32,0,TRUE,1
CAR,2005,48,Kasay,50,17,TRUE,0
CAR,2005,59,Kasay,29,14,TRUE,1
CAR,2005,5,Kasay,24,0,TRUE,1
CAR,2005,24,Kasay,47,0,TRUE,1
CAR,2005,27,Kasay,19,11,FALSE,1
CAR,2005,30,Kasay,41,21,FALSE,1
CAR,2005,45,Kasay,34,31,FALSE,1
CAR,2005,30,Kasay,31,7,FALSE,1
CAR,2005,47,Kasay,45,17,FALSE,1
CAR,2005,58,Kasay,18,20,FALSE,1
CAR,2005,15,Kasay,20,7,TRUE,1
CAR,2005,24,Kasay,38,10,TRUE,1
CAR,2005,30,Kasay,37,6,TRUE,1
ATL,2005,30,Koenen,58,-4,FALSE,1
ATL,2005,60,Koenen,55,-3,FALSE,0
BUF,2005,6,Lindell,35,0,FALSE,1
BUF,2005,14,Lindell,21,3,FALSE,1
BUF,2005,16,Lindell,42,6,FALSE,1
BUF,2005,19,Lindell,39,9,FALSE,1
BUF,2005,53,Lindell,31,12,FALSE,1
BUF,2005,29,Lindell,40,-9,TRUE,1
BUF,2005,6,Lindell,36,0,FALSE,1
BUF,2005,16,Lindell,41,-4,FALSE,1
BUF,2005,35,Lindell,30,-4,FALSE,1
